,popularity,h_track,arousal_z,catharsis_score,happiness_from_lyrics,audio_valence_raw,energy,danceability,tempo,valence,loudness,acousticness,instrumentalness,speechiness,liveness,duration_ms,explicit_int,position
popularity,1.0,0.02370430706099174,0.09204558924207171,0.03341091905652631,0.0020775510905840944,0.06227001547526869,-0.020909679517173475,0.21895119788790543,-0.03588068737745939,0.06985377553261203,0.13995282446814358,-0.0673141176457018,-0.21734904917690934,-0.049859660122590375,-0.061782329623716936,-0.03708015078112213,0.11488123418620509,0.029434138348682696
h_track,0.02370430706099174,1.0,0.147753482133037,-0.7017005995864867,0.2844000039983028,0.6220270263312999,0.03004247813969804,0.2565657240272006,-0.026304284921817675,0.5997830409444358,0.02675097153207893,0.06733032527638545,-0.05666528537453887,-0.11586385781951072,-0.005245740106692421,-0.1524393382826464,-0.18382780868108411,-0.01901261597116715
arousal_z,0.09204558924207171,0.147753482133037,1.0,0.5720475215993764,-0.12047731707063851,0.40663554226758103,0.6673667022785346,0.4898856202873643,0.6044923990285691,0.441445125108713,0.5747010675750374,-0.4936906426865933,-0.17448794544561322,0.21421760990933966,0.04162216961782388,-0.1142612991123578,0.13284689976039818,-0.03453207570561326
catharsis_score,0.03341091905652631,-0.7017005995864867,0.5720475215993764,1.0,-0.31864261337457417,-0.2263743547522142,0.4354624936481453,0.12488816359998517,0.44745104443076866,-0.18500739325699775,0.36811627360099225,-0.38283845194236826,-0.06937324975046584,0.2512641865883056,0.029103695576766845,0.024247093552294288,0.24834039826196694,-0.0034260167254439996
happiness_from_lyrics,0.0020775510905840944,0.2844000039983028,-0.12047731707063851,-0.31864261337457417,1.0,0.04259212807511314,-0.07549944054878861,-0.09323222392409862,-0.0399660585163707,0.022035475652495827,-0.031207735400916727,0.04825634613724434,-0.023202396708578602,-0.2105099706541662,-0.030164905538531198,0.04661863219066743,-0.23110979350635727,0.09295130066509394
audio_valence_raw,0.06227001547526869,0.6220270263312999,0.40663554226758103,-0.2263743547522142,0.04259212807511314,1.0,0.26392895887262285,0.3997358120005841,0.052723249329407834,0.9722854121583139,0.19972180931802547,-0.08585575834422891,-0.18151718195456498,0.0013362541708311431,0.04792648674485077,-0.20549345642437628,-0.07210624919526833,-0.031754995265747155
energy,-0.020909679517173475,0.03004247813969804,0.6673667022785346,0.4354624936481453,-0.07549944054878861,0.26392895887262285,1.0,-0.013089061199574885,0.1888188263066885,0.2886463710878326,0.7266041159302616,-0.674132633583562,-0.07869169353404787,0.11156945300899503,0.16875488023777388,0.01573903065040641,0.004255448310943008,0.0836762914182884
danceability,0.21895119788790543,0.2565657240272006,0.4898856202873643,0.12488816359998517,-0.09323222392409862,0.3997358120005841,-0.013089061199574885,1.0,-0.12385753307412946,0.4398553741887144,0.13680562881540329,-0.04720438386215289,-0.2005077221494785,0.16783153119044636,-0.10120578815023915,-0.17788413563013067,0.228413463649761,-0.08356745511381808
tempo,-0.03588068737745939,-0.026304284921817675,0.6044923990285691,0.44745104443076866,-0.0399660585163707,0.052723249329407834,0.1888188263066885,-0.12385753307412946,1.0,0.04921187375733684,0.14906682754936357,-0.14841986640797172,-0.02820380118714694,0.09799575933092103,0.005778545537976815,-0.03915413561399879,0.0013734124723667818,-0.054151392071186306
valence,0.06985377553261203,0.5997830409444358,0.441445125108713,-0.18500739325699775,0.022035475652495827,0.9722854121583139,0.2886463710878326,0.4398553741887144,0.04921187375733684,1.0,0.2166302063334024,-0.10774514824726378,-0.1763129929637397,0.02229843369242228,0.048793901032682045,-0.20102731759488227,-0.05190496240344847,-0.03522038339631491
loudness,0.13995282446814358,0.02675097153207893,0.5747010675750374,0.36811627360099225,-0.031207735400916727,0.19972180931802547,0.7266041159302616,0.13680562881540329,0.14906682754936357,0.2166302063334024,1.0,-0.5220445647661283,-0.33765033000935524,0.05994554039937333,0.041402301716019205,-0.05219622515747501,0.06136504597563387,0.05247407169901096
acousticness,-0.0673141176457018,0.06733032527638545,-0.4936906426865933,-0.38283845194236826,0.04825634613724434,-0.08585575834422891,-0.674132633583562,-0.04720438386215289,-0.14841986640797172,-0.10774514824726378,-0.5220445647661283,1.0,0.0798824505192283,-0.061377274988886295,-0.050878010455272585,-0.09323380712565013,-0.06800287528223407,-0.11475029961060311
instrumentalness,-0.21734904917690934,-0.05666528537453887,-0.17448794544561322,-0.06937324975046584,-0.023202396708578602,-0.18151718195456498,-0.07869169353404787,-0.2005077221494785,-0.02820380118714694,-0.1763129929637397,-0.33765033000935524,0.0798824505192283,1.0,-0.0559950993159804,0.013098242475420775,0.07679946889098074,-0.10119165073402106,-0.06940738832843858
