track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,playlistname,source,domain,chart,region,date,position,title,artist,url,scraped_at,lyrics,happiness_from_lyrics
Daisies,Weston Estate,Maggie Valley,55,203293,False,0.64,0.416,2,-7.897,1,0.0265,0.435,8.82e-06,0.123,0.343,106.008,4,chill,[nan],billboard,billboard.com,hot-100,,2025-11-08,6,Daisies,Justin Bieber,,2025-11-10T11:27:47.429636+00:00,"Throwin' petals like, ""Do you love me or not?""
Head is spinnin', and it don't know when to stop
'Cause you said, ""Forever,"" babe, did you mean it or not?
Hold on, hold on
You leave me on read, babe, but I still get the message
Instead of a line, it's three dots, but I can connect them
And if it ain't right, babe, you know I'll respect it
But if you need time, just take your time
Honey, I get it, I get it, I get it

Way you got me all in my head
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?

Blowin' kisses like, ""Will you catch 'em or not?""
I'm Cupid with arrows, babe, I'm just shootin' my shot, mm-mm
If I could get in, drop me a pin, hop in the— and come over
Don't wanna be friends, just skin-to-skin, I wanna get closer and closer and closer, uh

The way you got me all in my head
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?

You got me all, all, my love (All in my feelings, babe)
And you got me all, I've been all in my feelings
And you got me all, all weak in my knees every time (You got me all in my head, you got me all in my head, you got—)
‘Cause you got me all, all in my feelings (You got me all in my head, you got me all in my head, you got—)
Every time

The way you got me all in my head (You got me all in my head)
Think I'd rather you in my bed
Whatever it is, you know I can take it
I'm countin' the days, how many days 'til I can see you again?",0.6745886816643178
Thriller,Michael Jackson,Scream,70,358053,False,0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427,4,soul,[nan],billboard,billboard.com,hot-100,,2025-11-08,32,Thriller,Michael Jackson,,2025-11-10T11:27:47.429636+00:00,"[Verse 1]
It's close to midnight
Something evil's lurking in the dark
Under the moonlight
You see a sight that almost stops your heart
You try to scream
But terror takes the sound before you make it
You start to freeze
As horror looks you right between the eyes
You're paralyzed

[Chorus]
'Cause this is thriller, thriller night
And no one's gonna save you
From the beast about to strike
You know it's thriller, thriller night
You're fighting for your life inside a killer
Thriller tonight, yeah
Ooh

[Verse 2]
You hear the door slam
And realize there's nowhere left to run
You feel the cold hand
And wonder if you'll ever see the sun
You close your eyes
And hope that this is just imagination (Girl)
But all the while
You hear a creature creeping up behind
You're out of time
[Chorus]
'Cause this is thriller, thriller night
There ain't no second chance
Against the thing with forty eyes, girl
Thriller (Ooh), thriller night
You're fighting for your life
Inside a killer, thriller tonight

[Bridge]
Night creatures call
And the dead start to walk in their masquerade
There's no escaping the jaws of the alien this time
They're open wide
This is the end of your life, ooh

[Verse 3]
They're out to get you
There's demons closing in on every side (Ooh)
They will possess you
Unless you change that number on your dial
Now is the time
For you and I to cuddle close together, yeah
All through the night
I'll save you from the terror on the screen
I'll make you see
[Chorus]
That this is thriller, thriller night
'Cause I can thrill you more
Than any ghoul would ever dare try
Thriller (Ooh), thriller night
So let me hold you tight
And share a killer, thriller, chiller
Thriller, here tonight
'Cause this is thriller, thriller night
Girl, I can thrill you more
Than any ghoul would ever dare try
Thriller (Ooh), thriller night
So let me hold you tight
And share a killer, thriller (Ow!)

[Outro: Vincent Price & Michael Jackson]
I'm gonna thrill you tonight
Darkness falls across the land
The midnight hour is close at hand
Creatures crawl in search of blood
To terrorize y'all's neighborhood (I'm gonna thrill you tonight)
And whosoever shall be found
Without the soul for getting down
Must stand and face the hounds of hell
And rot inside a corpse's shell
I'm gonna thrill you tonight
Thriller, ooh, babe (Thriller)
I'm gonna thrill you tonight (Thriller night)
Thriller, oh, darling (Oh, baby)
I'm gonna thrill you tonight (Thriller)
Ooh, babe (Thriller night)
I'm gonna thrill you tonight (Thriller)
Oh, darling (Oh, baby)
Thriller night, babe (Thriller night, babe)
Ooh
The foulest stench is in the air
The funk of forty thousand years (Thriller night, thriller)
And grisly ghouls from every tomb
Are closing in to seal your doom
And though you fight to stay alive
Your body starts to shiver (I'm gonna thrill you tonight)
For no mere mortal can resist
The evil of the thriller!
AHAHAHAHAHAHAHAHA
AHAHAHAHAHAHAHAHA!",0.6149478318790594
This Is Halloween,The Countdown Kids,Halloween Movie & TV Classics,0,194193,False,0.644,0.644,5,-5.057,0,0.11,0.634,0.0,0.136,0.463,167.418,4,children,"[nan, nan]",billboard,billboard.com,hot-100,,2025-11-08,47,This Is Halloween,The Citizens of Halloween,,2025-11-10T11:27:47.429636+00:00,"Boys and girls of every age
Wouldn't you like to see something strange?
Come with us and you will see
This, our town of Halloween

This is Halloween, this is Halloween
Pumpkins scream in the dead of night
This is Halloween, everybody make a scene
Trick or treat 'til the neighbors gonna die of fright
It's our town, everybody scream
In this town of Halloween

I am the one hiding under your bed
Teeth ground sharp and eyes glowing red

I am the one hiding under your stairs
Fingers like snakes and spiders in my hair

This is Halloween, this is Halloween
Halloween, Halloween, Halloween, Halloween

In this town, we call home
Everyone, hail to the pumpkin song

In this town, don't we love it now?
Everybody's waiting for the next surprise

Round that corner, man hiding in the trash can
Something's waiting now to pounce, and how you'll

Scream

This is Halloween

Red and black

And slimy green

Aren't you scared?

Well, that's just fine
Say it once, say it twice
Take a chance and roll the dice
Ride with the moon in the dead of night

Everybody scream, everybody scream

In our town of Halloween

I am the clown with the tear-away face
Here in a flash and gone without a trace

I am the ""who"" when you call, ""Who's there?""

I am the wind blowing through your hair

I am the shadow on the moon at night
Filling your dreams to the brim with fright

This is Halloween, this is Halloween
Halloween, Halloween, Halloween, Halloween
Halloween, Halloween

Tender lumplings everywhere
Life's no fun without a good scare

That's our job, but we're not mean
In our town of Halloween

In this town

Don't we love it now?
Everyone's waiting for the next surprise

Skeleton Jack might catch you in the back
And scream like a banshee
Make you jump out of your skin
This is Halloween, everybody scream

Won't ya please make way for a very special guy?

Our man Jack is king of the pumpkin patch
Everyone, hail to the Pumpkin King now

This is Halloween, this is Halloween
Halloween, Halloween, Halloween, Halloween

In this town we call home
Everyone, hail to the pumpkin song

La-la-la, la-la-la (La-la-la-la-la-la-la-la, Halloween, Halloween,)
La-la, la-la-la (La-la-la-la-la-la-la-la, Halloween, Halloween)
La-la, la-la-la (La-la-la-la-la-la-la-la, Halloween, Halloween)
La-la-la, wee (La-la-la-la-la-la-la-la)",0.7595759066753089
Rockin' Around The Christmas Tree,Brenda Lee,Country Christmas Greatest Hits,1,124906,False,0.708,0.593,8,-6.167,1,0.046,0.764,0.0,0.484,0.856,140.508,4,rockabilly,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",billboard,billboard.com,hot-100,,2024-01-06,1,Rockin' Around The Christmas Tree,Brenda Lee,,2025-11-22T14:54:46.536981+00:00,"Rockin' around the Christmas tree
At the Christmas party hop
Mistletoe hung where you can see
Every couple tries to stop
Rockin' around the Christmas tree
Let the Christmas spirit ring
Later, we'll have some pumpkin pie
And we'll do some caroling

You will get a sentimental feelin'
When you hear
Voices singin', ""Let's be jolly
Deck the halls with boughs of holly""

Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancin' merrily
In the new old-fashioned way


You will get a sentimental feelin'
When you hear
Voices singin', ""Let's be jolly
Deck the halls with boughs of holly""

Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancin' merrily
In the new old-fashioned way",0.7841472718864679
Jingle Bell Rock,Blake Shelton,Merry Christmas,1,123400,False,0.65,0.736,0,-5.222,1,0.0378,0.122,0.0,0.0998,0.595,129.941,4,country,"[nan, nan, nan, nan]",billboard,billboard.com,hot-100,,2024-01-06,3,Jingle Bell Rock,Bobby Helms,,2025-11-22T14:54:46.536981+00:00,"[Verse 1]
Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now, the jingle hop has begun

[Verse 2]
Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

[Bridge]
What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh

[Verse 3]
Giddyap jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell rock
[Verse 4]
Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

[Bridge]
What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh

[Outro]
Giddyap jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell
That's the jingle bell
That's the jingle bell rock",0.6811946053057909
Last Christmas,Wham!,LAST CHRISTMAS,74,262960,False,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4,disco,"[nan, nan, nan, nan]",billboard,billboard.com,hot-100,,2024-01-06,4,Last Christmas,Wham!,,2025-11-22T14:54:46.536981+00:00,"[Intro]
(Happy Christmas)
Ah, ah-ah
Ooh-woah
Oh-oh

[Chorus]
Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)

[Verse 1]
Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me, baby, do you recognise me?
Well, it's been a year, it doesn't surprise me
""Happy Christmas,"" I wrapped it up and sent it
With a note saying, ""I love you,"" I meant it
Now I know what a fool I've been
But if you kissed me now, I know you'd fool me again
[Chorus]
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)
Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special (Special, oh)
Oh, oh, baby

[Verse 2]
A crowded room, friends with tired eyes
I'm hiding from you and your soul of ice
My God, I thought you were someone to rely on
Me? I guess I was a shoulder to cry on
A face of a lover with a fire in his heart
A man undercover, but you tore me apart
Ooh-ooh
Now I've found a real love, you'll never fool me again

[Chorus]
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave me away)
This year, to save me from tears
I'll give it to someone special (Special)
[Verse 3]
A face on a lover with a fire in his heart (I gave you my heart)
A man undercover, but you tore him apart
Maybe next year
I'll give it to someone, I'll give it to someone special

[Bridge]
Special
Someone
Someone
I'll give it to someone, I'll give it to someone special
Who give me something in return
(I'll give it to someone, I'll give it to someone)
Hold my heart and watch it burn
I'll give it to someone, I'll give it to someone special
I thought you were here to stay
How could you love me for a day?
I thought you were someone special
I gave you my heart
I'll give it to someone, I'll give it to someone

[Chorus]
Last Christmas, I gave you my heart
You gave it away
I'll give it to someone, I'll give it to someone
[Outro]
La-la
La-la-la-la-la
La-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la-la-la-la
La-la-la
La-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la-la-la-la",0.5676448202381531
It's The Most Wonderful Time Of The Year,Vince Gill,Country Christmas Greatest Hits,1,165026,False,0.519,0.397,8,-9.369,1,0.0293,0.852,3.95e-05,0.217,0.557,97.717,3,country,[nan],billboard,billboard.com,hot-100,,2024-01-06,6,It's The Most Wonderful Time Of The Year,Andy Williams,,2025-11-22T14:54:46.536981+00:00,"It's the most wonderful time of the year (Ding, dong, ding, dong)
With the kids jingle-belling
And everyone telling you, ""Be of good cheer""
It's the most wonderful time of the year (Ding, dong, ding, dong)

It's the hap-happiest season of all (Ding, dong, ding, dong)
With those holiday greetings
And gay happy meetings when friends come to call
It's the hap-happiest season of all (Ding, dong, ding, dong)

There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long, long ago

It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time of the year

There'll be parties for hosting
Marshmallows for toasting
And caroling out in the snow
There'll be scary ghost stories
And tales of the glories
Of Christmases long, long ago

It's the most wonderful time of the year
There'll be much mistletoeing
And hearts will be glowing when loved ones are near
It's the most wonderful time
It's the most wonderful time
Oh, the most wonderful time of the year",0.8832635786384344
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,Christmas Songs 2022,3,115240,False,0.484,0.332,1,-10.312,1,0.037,0.787,0.0,0.373,0.683,134.999,4,jazz,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",billboard,billboard.com,hot-100,,2024-01-06,7,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,,2025-11-22T14:54:46.536981+00:00,"Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow

Man, it doesn't show signs of stoppin'
And I've brought me some corn for poppin'
The lights are turned way down low
Let it snow, let it snow

When we finally kiss goodnight
How I'll hate goin' out in the storm
But if you really hold me tight
All the way home, I'll be warm

And the fire is slowly dyin'
And, my dear, we're still goodbyein'
But as long as you'd love me so
Let it snow, let it snow, and snow


When we finally kiss goodnight
How I'll hate goin' out in the storm
But if you really grab me tight
All the way home, I'll be warm

Oh, the fire is slowly dyin'
And, my dear, we're still goodbyein'
But as long as you'd love me so
Let it snow, let it snow, let it snow",0.6047872863709927
The Christmas Song (Merry Christmas To You),Nat King Cole,World's Best Christmas Playlist,1,192160,False,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,jazz,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",billboard,billboard.com,hot-100,,2024-01-06,12,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",,2025-11-22T14:54:46.536981+00:00,"Chestnuts roasting on an open fire, Jack Frost nipping at your nose
Yuletide carols being sung by a choir and folks dressed up like Eskimos
Everybody knows a turkey and some mistletoe help to make the season bright
Tiny tots with their eyes all aglow will find it hard to sleep tonight

They know that Santa's on his way
He's loaded lots of toys and goodies on his sleigh
And every mother's child is gonna spy
To see if reindeer really know how to fly

And so I'm offering this simple phrase to kids from one to ninety-two
Although it's been said many times, many ways, Merry Christmas to you


And so I'm offering this simple phrase to kids from one to ninety-two
Although it's been said many times, many ways, Merry Christmas to you",0.7146330196410418
Jingle Bells,Brian Culbertson,Happy Christmas Instrumentals,0,251506,False,0.664,0.744,0,-8.318,1,0.0543,0.284,0.858,0.937,0.463,95.138,4,jazz,"[nan, nan, nan]",billboard,billboard.com,hot-100,,2024-01-06,16,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,,2025-11-22T14:54:46.536981+00:00,"Dashing through the snow
In a one-horse open sleigh
O'er the fields we go
Laughing all the way
Bells on bobtails ring
Making spirits bright
What fun it is to ride and sing
A sleighing song tonight

Oh, jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh, hey
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh

A day or two ago
I thought I'd take a ride
And soon, Ms Fanny Bright
Was seated by my side
The horse was lean and lank
Misfortune seemed his lot
He got into a drifted bank
And then we got upsot

Hey, jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh, hey
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh

A day or two ago
The story I must tell
I went out on the snow
And on my back I fell
A gent was riding by
In a one-horse open sleigh
He laughed as there I sprawling lie
But quickly drove away

Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh, hey
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh

Now the ground is white
Go it while you're young
Take the girls tonight
And sing this sleighing song
Just get a bobtailed bay
Two forty as his speed
Hitch him to an open sleigh
And crack, you'll take the lead

Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh, hey
Jingle bells, jingle bells
Jingle all the way
Oh, what fun it is to ride
In a one-horse open sleigh",0.3554618274793029
