source,domain,chart,region,country,continent,date,position,title,artist,url,scraped_at,city,track_id,album,energy,danceability,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,lyrics,happiness_from_lyrics,popularity
billboard,billboard.com,hot-100,,,,2011-06-04,1,Rolling In The Deep,Adele,,2025-11-22T16:33:59.805187+00:00,,,21,0.769,0.73,0.507,104.948,-5.114,0.138,0.0,0.0298,0.0473,"[Verse 1]
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your shit bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch, and it's bringing me out the dark

[Pre-Chorus]
The scars of your love remind me of us
They keep me thinkin' that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling

[Chorus]
We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
[Verse 2]
Baby, I have no story to be told
But I've heard one on you, now I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there, as mine sure won't be shared

[Pre-Chorus]
(You're gonna wish you never had met me) The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep) They keep me thinkin' that we almost had it all
(You're gonna wish you never had met me) The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep) I can't help feeling

[Chorus]
We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all
Rolling in the deep
You had my heart inside of your hand
But you played it with a beating

[Bridge]
Throw your soul through every open door (Ooh woah, oh)
Count your blessings to find what you look for (Woah)
Turn my sorrow into treasured gold (Ooh woah, oh)
You'll pay me back in kind and reap just what you sow
[Breakdown]
(You're gonna wish you never had met me)
We could've had it all (Tears are gonna fall, rolling in the deep)
We could've had it all, yeah (You're gonna wish you never had met me)
It all, it all, it all (Tears are gonna fall, rolling in the deep)

[Chorus]
We could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
And you played it to the beat (Tears are gonna fall, rolling in the deep)
Could've had it all (You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand (You're gonna wish you never had met me)
But you played it, you played it, you played it
You played it to the beat",0.7453457949062189,79.0
billboard,billboard.com,hot-100,,,,2016-06-04,1,One Dance,Drake Featuring Wizkid & Kyla,,2025-11-22T16:43:18.797585+00:00,,,Views,0.605,0.788,0.427,103.94,-5.586,0.00899,0.00275,0.0578,0.318,"Baby, I like your style

Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Baby, I like your style

Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time, and that's why

I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Got a pretty girl and she love me long time
Fine like a wine, she love me long time
Oh, yeah, very long time
Back up, back up, back up, and whine it
Back up, back up, and whine it
Girl, just back up, back up, back up, and whine, girl
Oh, yes, steady and fine
Back, up, back up and whine it, mm

Oh, tell me, I need to know
Where do you wanna go?
'Cause if you're down, I'll take it slow
Make you lose control

Where, where, where
Where, where, where, where (
Oh, yeah, very long time
)
Where, where, where (
Back up, back up, and whine am, girl
)
Where, where, where, where
'Cause if you're down (
Back up, back up, and–
)
'Cause if you're down (
Back up, back up, and–
)
'Cause if you're down (
Back up, back up, and–
)

I need a one dance (
Where, where, where
)
Got a Hennessy in my hand (
Where, where, where, where
)
One more time 'fore I go (
Where
)
Higher powers taking a hold on me (
Where, where, where, where
)
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

How do you spell ""Hennessy?""
I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn...
It's definitely not showing up
I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s",0.520816263432304,
billboard,billboard.com,hot-100,,,,2019-06-01,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,,2025-11-22T16:49:02.534815+00:00,,,7 EP,0.53,0.907,0.507,135.998,-6.112,0.0578,2.23e-06,0.127,0.101,"Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
(
Kio, Kio
)

I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Ridin' on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now

Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

Ridin' on a tractor
Lean all in my bladder
Cheated on my baby
You can go and ask her
My life is a movie
Bull ridin' and boobies
Cowboy hat from Gucci
Wrangler on my booty

Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I got the hor-",0.4890154488384723,
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Rock,Olamide,,2025-11-28T03:10:11.431570,,,UY Scuti,0.628,0.917,0.828,103.993,-7.542,0.362,0.273,0.188,0.102,"[Chorus]
Girl I just want make we rock
Girl I just want make we vibe
Girl I just, girl I just want make we chill like ice water
Mi o mo bonshen gbe body o
Fit spend you my paper, after tonight I go like to dey see you later
Personal vendetta against me, cos of you I get many haters

[Verse 1]
Omoge o whine for your guy
Baby wetin you dey find for your life
Ma lo fe broke nigga, fight for your life
Roll with me make I blow your aza like
Marilyn Monroe you too set
Every man want to open bonnet
No fit give but you want to collect
Better guy scarce like a cassette o

[Pre-Chorus]
Mamalet don't you forget
Me I be cocky but now I dey pesh
I don dey fall, baby ti get
Bakasi causing domino effect
You no need introduce yourself
Michael Jackson thriller, you are bad
If I see you for dark I fit tell
The way your body take dey bend o
[Chorus]
Girl I just want make we rock
Girl I just want make we vibe
Girl I just, girl I just want make we chill like ice water
Mi o mo bonshen gbe body o
Fit spend you my paper, after tonight I go like to dey see you later
Personal vendetta against me, cos of you I get many haters

[Verse 2]
Oya grab something, hold something
Like it's your birthday, go shorty
Ma worry, nobody fit to take your place baby shake something
Them no fit wear agbada for mosquito
Beef them get for me pass one kilo
Got my eyes on the price oh my baby o
Wan dey take your panpana do pillow

[Pre-Chorus]
Mamalet don't you forget
Me I be cocky but now I dey pesh
I don dey fall, baby ti get
Bakasi causing domino effect
You no need introduce yourself
Michael Jackson thriller, you are bad
If I see you for dark I fit tell
The way your body take dey bend o
[Chorus]
Girl I just want make we rock
Girl I just want make we vibe
Girl I just, girl I just want make we chill like ice water
Mi o mo bonshen gbe body o
Fit spend you my paper, after tonight I go like to dey see you later
Personal vendetta against me, cos of you I get many haters

[Outro]
Girl I just want make we rock rock rock
Mi o mo bonshen gbe body o
Girl I just want make we vibe vibe vibe
Mi o mo bonshen gbe body o",0.3486732253804803,51.0
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Understand,Omah Lay,,2025-11-28T03:10:11.431570,,,Boy Alone,0.653,0.697,0.627,99.982,-7.284,0.166,0.231,0.102,0.0911,"Mad

You don cut my weave-on and dread, ah
You make a boy sick and a boy well, ah (Ohh)
Nothing my eye see my mouth e don tell, ah
I enter rain 'cause I give you umbrella

I thought we in this together
Give you my necklace pendant
Give you my last card you spend am
I show you my best friend you friend am
I thought we in this together
Give you my necklace pendant
Show you my best friend you friend am
I Give you my last card you spend am

Everything I do I under, under
I no fit to under, under, under
(Me I no fit to under, oh)
Under, under I no fit to understand
That thing where you do me, I
Under, under I no to fit under, under, under, under, under
Oh, oh, under, under, I no fit to understand

All of my fans I pity for them
I don't mind I pick condemn
I don't fight the uniform men
Oluwa, can you fix the problem?
Ahhhn ah ah
Thunder thunder fire that your reason
We dey give you ginger make you leave me
Thunder thunder fire that your reason eh
Yuh Yuh oh

I thought we in this together
Give you my necklace pendant
Give you my last card you spend am
I show you my best friend you friend am
I thought we in this together
Give you my necklace pendant
Show you my best friend you friend am
I give you my last card you spend am

Everything I do I under under
I no fit under, under under
Me I no fit under o
Under under
I no fit understand
That thing wey you do me I
Under under
I no fit under, under under
Oh oh Under under
I no fit understand
(That thing wey you do me I)
Under under I no fit under under under, under Under
Under under I no fit understand
(Ahh)

Under under I no fit under under under, under Under
Under under I no fit understand",0.1470881897257641,69.0
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Petite,NSG,,2025-11-28T03:10:11.431570,,,Petite,0.565,0.631,0.522,101.822,-6.89,0.452,4e-05,0.225,0.0782,"[Intro]
(JAE5)

[Verse 1: Kruddz]
Came from the bottom, had to stack my pence
Never goin' broke, that's common sense
With bro, bring a ratchet friend
Rollin' with smoke, just in case of nonsense
In this life they'd rather see me down, oh
That's why I wake up, thank God, oh
Look around, many rivals
Have to bun man's flesh for survival

[Verse 2: Mojo]
Who's that +234? That's my Naij babe
Never seen you before, how you my mate?
I can't even trust myself in this climate
Animal instincts, no primate
Cuttin' through Euston, doing what I'm used to
Packs flyin' like a rocket from Houston
I can't love you the way that I used to
You know what? I better go get a new you
[Chorus: OGD]
Shake it, baby, don't break it
You know that I love my gyal petite
To make an entrance we come late to the party (Yeah-yeah, yeah-yeah)
Shake, shake, shake it, baby, don't break it
You know that I love my gyal petite
To make an entrance we come late to the party

[Verse 3: Dope]
If it ain't money, then why you in my mentions?
No, I don't want no lames in my section
What I'm in ain't a rental
That's why she had her eyes on me when she entered
Having brekkie for dinner, how could I give you advice?
You can probably snake me once, but you can't do it twice
Yeah, I made it and I said I always will like Mike
Yeah, I made it and I said I always will like Mike

[Verse 4: Papii Abz]
I put the fashion in fashionably late
Been puttin' work and nothin' ain't changed
Power in me from my ancestry
Got me seein' things I could never have seen
Don't just do this for elómì
Do it for the squad, family
Don't pretend you're a friend with me
Vibes tell me you're an enemy
[Chorus: OGD]
Shake it, baby, don't break it
You know that I love my gyal petite
To make an entrance we come late to the party (Yeah-yeah, yeah-yeah)
Shake, shake, shake it, baby, don't break it
You know that I love my gyal petite
To make an entrance we come late to the party

[Verse 5: Mujib]
Ah, ah
I'm so highly blessed
Me go broke? I highly doubt it
Big ol' back, but you can't even shake it
They got gun, but they can't even shoot it, ah, ah
This one no be S.I, this one na bling-bling
She dey feel me the way I dey sing sing
Show me real love, don't show me fake ting
From this side, life no be joke ting

[Chorus: OGD]
Shake it, baby, don't break it
You know that I love my gyal petite
To make an entrance we come late to the party (Yeah-yeah, yeah-yeah)
Shake, shake, shake it, baby, don't break it
You know that I love my gyal petite
To make an entrance we come late to the party
[Outro]
Girl, I love you
Girl, I love you
Girl, I love you
Girl, I love you",0.345783553396662,48.0
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Anoti,WizKid,,2025-11-28T03:10:11.431570,,,Made In Lagos: Deluxe Edition,0.73,0.634,0.575,101.901,-7.353,0.378,2.04e-05,0.385,0.0985,"Yeah, yeah-yeah-yeah
(How e dey go now)
Yeah, oh, yeah, yeah
Yeah
Mm, mm-hmm, mm
Mm, hmm, mm
(Pppp!)

Turn up your body, make you feel alright
Fly in the kele wey go cool my mind (Qué paso?)
I wan do anything I want tonight (Woah, woah)
Make we do anything we want tonight
Turn up your body, make you feel alright
Fly in the kele wey go cool my mind (Na so na)
I wan do anything I want tonight (Woah)
Make we do anything we want tonight

Say I go dey, we ah go dey, dey-dey-dey, ooh yah, gbe
Ooh yah, gbe, gbe-gbe-gbe, me ah go dey
And I go dey, dey-dey-dey, ka rotay
Yeah yeah, dey, dey-dey-dey, like rotay
Till I go dey-dey-dey, Oya gbe
Koya gbe-gbe-gbe, Una go dey
She don Dey pay like tey-tey Oya gbe
Oya gbe-gbe-gbe una go dey

She like it fast and slowly (Oh, ah)
Sometimes she dey confuse me
Mi never leave her lonely
Mi never leave her lonely
And I dey turn up when she need me
She like, ""Kojoro mi jo""
She say she don't want no one o but me
So I give ya what you need (Yeah)

Turn up your body, make you feel alright
Fly in the kele wey go cool my mind (Qué paso?)
I wan do anything I want tonight (Woah, woah)
Make we do anything we want tonight (How you dey na)
Turn up your body, make you feel alright (uh)
Fly in the kele wey go cool my mind (Na so na)
I wan do anything I want tonight (Woah)
Make we do anything we want tonight

Say I go dey, we ah go dey, dey-dey-dey, ooh yah, gbe
Ooh yah, gbe, gbe-gbe-gbe, me ah go dey
And I go dey, dey-dey-dey, ka rotay
Yeah yeah, dey, dey-dey-dey, like rotay
Till I go dey-dey-dey, Oya gbe
Koya gbe-gbe-gbe, Una go dey
She don Dey pay like tey-tey Oya gbe
Oya gbe-gbe-gbe una go dey

Yeah, she dey sweet pass melody (Yeah)
She got the thing wey dey make ah man sing (Yeah)
And I no dey leave, she no dey leave (Yeah)
And she dey call me Mr. Romantic (Yeah, yeah)
I f**k the yansh, she dey bend on her knees (Yeah)
For the lovin' ah dey give, she never seen (Yeah)
Haffi go love you tonight
Or haffi love you for life
Oh, she dey turn up my mind
She say she dey for only me, oh
She say she like to joromi oh
She say she don't want no one, oh
But me
So I dey give her all she needs

Say I go dey, we ah go dey, dey-dey-dey, ooh yah, gbe
Ooh yah, gbe, gbe-gbe-gbe, me ah go dey
And I go dey, dey-dey-dey, ka rotay
Yeah yeah, dey, dey-dey-dey, like rotay
Till I go dey-dey-dey, Oya gbe
Koya gbe-gbe-gbe, Una go dey
She don Dey pay like tey-tey Oya gbe
Oya gbe-gbe-gbe una go dey",0.5258731072147688,52.0
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Free My Mind,Omah Lay,,2025-11-28T03:10:11.431570,,,Free My Mind,0.37,0.771,0.941,94.893,-10.813,0.426,0.363,0.0441,0.086,"[Chorus]
Free my mind, free my mind with shayo
Free my mind, free my mind with shayo
Free my mind, free my mind with shayo
Free my mind ooo, free my mind with shayo ooo

[Verse 1]
I get girl for America, she no dey ever ever let me down
I get another for Senegal, she no dey ever ever give me nack
I get another for UNILAG, that one behaves like a hoodlum
I get another for UNIPORT, see me see trouble kill a boy
Now we don bust o

[Chorus]
Free my mind, free my mind with shayo
Free my mind, free my mind with shayo
Free my mind, free my mind with shayo
Free my mind ooo, free my mind with shayo ooo

[Verse 2]
Mmm my melody e sweet pass mmmm
Mmm my energy, I fire pass motor
If shawty no go give me, I go go nack okpo
Shule boy, e bе the boss don shule boy
Cause е don bust o
[Chorus]
Free my mind, free my mind with shayo
Free my mind, free my mind with shayo
Free my mind, free my mind with shayo
Free my mind ooo, free my mind with shayo ooo

[Verse 3]
Olosho wey no fine, dem dey too like clout eeyo
People wey no get talent oyo, dem dey too sharp mouth
So I free my mind with shayo no
I free my mind with shayo ooo

[Chorus]
Free my mind, free my mind with shayo
Free my mind, free my mind with shayo
Free my mind, free my mind with shayo
Free my mind ooo, free my mind with shayo ooo",0.3305539973080158,50.0
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Ozumba Mbadiwe,Reekado Banks,,2025-11-28T03:10:11.431570,,,Ozumba Mbadiwe,0.782,0.785,0.635,109.961,-6.803,0.424,0.00644,0.0358,0.108,"[Verse 1]
I no dey move dat way
Don’t make me move dat way
Me I no wan sleep for highway
‘Fore you cross ,gaz look your sideways
Me I no come Lagos for child’s play

[Pre-Chorus]
So I hear say dem Dey find me
For the long time I been silent
I dey run am I be Sterling
But Dey think say I’m in hiding
Cos Dey don’t know how to find me

[Chorus]
I’ll be on Ozumba Mbadiwe
I’ll be on Ozumba Mbadiwe
I’ll be on Ozumba Mbadiwe
I’ll be on Ozumba Mbadiwe
Coming to you
Coming to you
[Verse 2]
Well if you think say you be giant you be giant for your pocket
If you only fight for your pocket
For your pocket
October 20 2020
Something happen with the government
They think say we go forget
For where mmm
For ozumba mbadiwe
Man I tell ya

[Pre-Chorus]
I no dey move dat way (I no dey move that way)
Don’t make me move dat way
No I’m not built that way
‘Fore I cross ,gaz look my sideways
Me I no come Lagos for child’s play

[Pre-Chorus]
In the meantime, Abike mi
How you want am make you tell me
If you need speed I be sterling
I’ll go right behind the steering
I go run am kini ise mi

[Chorus]
I’ll be on Ozumba Mbadiwe
I’ll be on Ozumba Mbadiwe
I’ll be on Ozumba Mbadiwe
I’ll be on Ozumba Mbadiwe
Coming to you
[Outro]",0.3345225406810641,51.0
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Beggin,Måneskin,,2025-11-28T03:10:11.431570,,,Chosen,0.8,0.714,0.589,134.002,-4.808,0.127,0.0,0.0504,0.359,"Put your lovin' hand out, baby
'Cause I'm beggin'

I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your loving hand out, darlin'

Ridin' high when I was king
I played it hard and fast 'cause I had everything
I walked away, you warned me then
But easy come and easy go, and it would end

So anytime I bleed, you let me go
Yah, anytime I feed, you get me, no
Anytime I seek, you let me know
But I plant and seed, just let me go
I'm on my knees when I'm beggin'
'Cause I don't wanna lose you
Hey, yeah, ra-ta-ta-ta!

'Cause I'm beggin', beggin' you
Uh, put your lovin' hand out, baby
I'm beggin', beggin' you, ah
And put your lovin' hand out, darlin'

I need you to understand
Tried so hard to be your man
The kind of man you want in the end
Only then can I begin to live again

An empty shell, I used to be
The shadow of my life was hangin' over me
A broken man that I don't know
Won't even stand the devil's dance to win my soul

What we doin'? What we chasin'?
Why the bottom? Why the basement?
Why we got good shit, don't embrace it?
Why the feel for the need to replace me?
You're the wrong way track from the good
I wanna paint a picture tellin' where we could be at
Like a heart in the best way should
You can give it away, you had it, and you took the pay
But I keep walkin' on, keep openin' doors
Keep hopin' for, now the door is yours
Keep also home
'Cause I don't wanna live in a broken home, girl, I'm beggin'

Mmm, yeah, yeah, I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'

I'm fightin' hard to hold my own
Just can't make it all alone
I'm holdin' on, I can't fall back
I'm just a calm, 'bout to fade to black

I'm beggin', beggin' you
Put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'
I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'

I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out",0.4814186987156669,85.0
