,source,domain,chart,region,date,position,title,artist,scraped_at,track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,lyrics,lyrics_language,happiness_from_lyrics,track_id
0,billboard,billboard.com,hot-100,,2023-01-07,39.0,Under The Influence,Chris Brown,2025-11-22T15:08:01.843069+00:00,Under The Influence,Chris Brown,Indigo (Extended),96,184613,True,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,4,dance,"Kido, Kido
K-K-Kido on the beat, better run it back

Fuckin' Robitussin
I don't know why this shit got me lazy right now, yeah
Can't do Percocets or Molly (Molly)
I'm turnin' one, tryna live it up here right, right, right

Baby, you can
Ride it, ooh, yeah
Bring it over to my place
And you be like
""Baby, who cares?""
But I know you care
Bring it over to my place
You don't know what you did, did to me
Your body lightweight, speaks to me
I don't know what you did, did to me
Your body lightweight, speaks to me

('Cane on it)
Yeah
Yeah (Yeah)

I can make it hurricane on it ('Cane on it)
Hunnid bands, make it rain on it (Rain on it)
Tie it up, put a chain on it (Chain on it)
Make you tattoo my name on it (Name on it), oh
Make you cry like a baby, yeah
Let's GoPro and make a video, yeah (Yeah)
Make you cry like a baby, yeah
Let's GoPro and make a video (Video)
Oh, yeah-yeah-yeah-yeah

Baby, you can
Ride it, ooh, yeah
Bring it over to my place
And you be like
""Baby, who cares?""
But I know you care
Bring it over to my place
You don't know what you did, did to me
Your body lightweight, speaks to me
I don't know what you did, did to me
Your body lightweight, speaks to me

('Cane on it)
('Cane on it)
('Cane on it)

Baby, you can
Ride it, ooh, yeah
(Molly, Molly)
And you be like
""Baby, who cares?""
But I know you care
(Molly, Molly)",en,0.3950451062992215,5IgjP7X4th6nMNDh4akUHb
290,billboard,billboard.com,hot-100,,2022-07-02,93.0,7500 OBO,Tim McGraw,2025-11-22T15:11:28.361775+00:00,7500 OBO,Tim McGraw,Sad Country Songs,55,221400,False,0.528,0.718,7,-6.954,1,0.0337,0.1,0.0,0.304,0.51,155.759,4,country,"[Verse 1]
Got an '06, stick shift
Dark blue F150 in good condition
Got a hundred and nineteen thousand miles
Only five on the new transmission

[Pre-Chorus]
It's got leather seats, a sun roof
It's sittin' on thirty-threes, it runs smooth
It'll get you from A to B, but not for me
'Cause every time I turn that key, I see her

[Chorus]
Shotgun ridin' down a two-lane road
Just drivin' around with no place to go, ah
Singin' along to ""Where the Green Grass Grows""
Hands out the window, floatin' on the breeze
She's fixin' her lips in the dropdown mirror
That pretty little thing made it hard to steer
I'm never gonna get her out of there
There's too many memories
Now there's a ""For sale"" sign in the window
Yeah, 'cause if I'm gonna let her go
I gotta let it go, yeah, it's gotta go
So it's $7500 OBO
[Verse 2]
Back bumper's got a dent from her backin' in
To a mailbox first time she drove it
Couldn't even be mad with her lookin' like that
Told her, ""Hell, you can hardly even notice""

[Pre-Chorus]
It's got nights with her I can't forget
Kissin' on the tailgate of the truck bed
I wish I didn't have to get rid of it
But every time I turn that key, I see her

[Chorus]
Shotgun ridin' down a two-lane road
Just drivin' around with no place to go, ah
Singin' along to ""Where the Green Grass Grows""
Hands out the window, floatin' on the breeze
She's fixin' her lips in the dropdown mirror
That pretty little thing made it hard to steer
I'm never gonna get her out of there
There's too many memories
Now there's a ""For sale"" sign in the window
Yeah, 'cause if I'm gonna let her go
I gotta let it go, yeah, it's gotta go
So it's $7500 OBO
[Pre-Chorus]
It's got leather seats, a sun roof
It's sittin' on thirty-threes, it runs smooth
It'll get you from A to B, but not for me
'Cause every time I turn that key, I see her

[Chorus]
Shotgun ridin' down a two-lane road
Just drivin' around with no place to go, ah
Singin' along to ""Where the Green Grass Grows""
Hands out the window, floatin' on the breeze
She's fixin' her lips in the dropdown mirror
That pretty little thing made it hard to steer
I'm never gonna get her out of there
There's too many memories
Now there's a ""For sale"" sign in the window
Yeah, 'cause if I'm gonna let her go
I gotta let it go, yeah, it's gotta go
So it's $7500 OBO

[Outro]
It's $7500 OBO
It's $7500 OBO",en,0.3375614957573513,7A4WmJcWx6KrVRfQ2CP8e7
289,billboard,billboard.com,hot-100,,2023-01-07,42.0,Something In The Orange,Zach Bryan,2025-11-22T15:08:01.843069+00:00,Something in the Orange,Zach Bryan,New Country,86,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country,"It'll be fine by dusk light, I'm tellin' you, baby
These things eat at your bones and drive your young mind crazy
But when you place your head between my collar and jaw
I don't know much, but there's no weight at all

And I'm damned if I do and I'm damned if I don't
'Cause if I say I miss you, I know that you won't
But I miss you in the mornings when I see the sun
Somethin' in the orange tells me we're not done

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

I need to hear you say you've been waitin' all night
There's orange dancin' in your eyes from bulb light
Your voice only trembles when you try to speak
Take me back to us dancin', this wood used to creak

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home
If you leave today, I'll just stare at the way
The orange touches all things around
The grass, trees, and dew, how I just hate you
Please turn those headlights around
Please turn those headlights around",en,0.3649448538199067,3WMj8moIAXJhHsyLaqIIHI
288,billboard,billboard.com,hot-100,,2024-01-06,7.0,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2025-11-22T14:54:46.536981+00:00,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,Christmas Songs 2022,93,115240,False,0.484,0.332,1,-10.312,1,0.037,0.787,0.0,0.373,0.683,134.999,4,jazz,"Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow

Man, it doesn't show signs of stoppin'
And I've brought me some corn for poppin'
The lights are turned way down low
Let it snow, let it snow

When we finally kiss goodnight
How I'll hate goin' out in the storm
But if you really hold me tight
All the way home, I'll be warm

And the fire is slowly dyin'
And, my dear, we're still goodbyein'
But as long as you'd love me so
Let it snow, let it snow, and snow


When we finally kiss goodnight
How I'll hate goin' out in the storm
But if you really grab me tight
All the way home, I'll be warm

Oh, the fire is slowly dyin'
And, my dear, we're still goodbyein'
But as long as you'd love me so
Let it snow, let it snow, let it snow",en,0.6047872863709927,2uFaJJtFpPDc5Pa95XzTvg
287,billboard,billboard.com,hot-100,,2017-06-03,28.0,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,2025-11-22T16:45:13.029007+00:00,Rockabye,Clean Bandit;Sean Paul;Anne-Marie,Cardio Tracks,80,250456,True,0.724,0.759,9,-3.996,0,0.0544,0.411,0.0,0.437,0.765,101.943,4,edm,"Call it love and devotion
Call it a mom's adoration, foundation
A special bond of creation, ha
For all the single moms out there
Goin' through frustration
Clean Bandit, Sean da Paul
Anne-Marie, sing, make them hear

She works the nights by the water
She's gone astray, so far away
From her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him (
Daily struggle
)

She tells him, ""Ooh, love
No one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you"" (Stay up there, stay up there)
She tells him, ""Your life
Ain't gon' be nothin' like my life (
Straight
)
You're gonna grow and have a good life
I'm gonna do what I've got to do"" (Stay up there, stay up there)

So rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Rockabye

(No, oh)
Rockabye, rocka-rocka-rockabye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rockabye

Single mom, how you doin' out there?
Facing the hard life without no fear (Yeah)
Just so you know that you really care (Uh)
'Cause 
any obstacle come, you're well prepared
 (
Oh no
)
And no, mama, you never shed tear
'Cause you haffi shed things year after year (Na-na-na-na)
And you give the yout love beyond compare (
Yeah
)
You find his school fee and the bus fare (
Yeah
)
Mm, already pops disappear
Inna rum bar, can't find him nowhere
Steadily your workflow heavily, you know
So you nah stop, no time, no time for ya dear

Now she got a six-year-old
Tryin' to keep him warm
Tryin' to keep out the cold
When he looks in her eyes
He don't know he is safe when she says

""Ooh, love
No one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you""

So rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry (
Bada-bang-bang-bang, alright then
)
Rockabye

(No, oh)
Rockabye, rocka-rocka-rocka-bye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rocka-bye
Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo
Rockabye, don't bother cry
Angels surround you, just dry your eye

Now she got a six-year-old
Tryin' to keep him warm
Tryin' to keep out the cold
When he looks in her eyes
He don't know he is safe when she says

She tells him, ""Ooh, love
No one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you"" (Stay up there, stay up there)
She tells him, ""Your life
Ain't gon' be nothin' like my life (
Straight
)
You're gonna grow and have a good life
I'm gonna do what I got to do"" (Yeah)

So, rockabye, baby, rockabye (
Rockabye, rocka-rocka-rockabye
)
I'm gonna rock you
Rockabye, baby, don't you cry (
Rockabye, rocka-rocka-rockabye
)
Somebody's got you
Rockabye, baby, rockabye (
Rockabye, rocka-rocka-rockabye
)
I'm gonna rock you
Rockabye, baby, don't you cry (
Bada-bang-bang-bang, alright then
)
Rockabye

Rockabye, don't bother cry
Lift up your head, lift it up to the sky (Rockabye)
Rockabye, don't bother cry (Yeah, yeah)
Angels surround you, just dry your eye (Rockabye)
Rockabye, don't bother cry (No, oh)
Lift up your head, lift it up to the sky (Rockabye)
Rockabye, don't bother cry
Angels surround you, just dry your eye",en,0.4836973471101373,
286,billboard,billboard.com,hot-100,,2022-01-01,26.0,Super Gremlin,Kodak Black,2025-11-22T15:10:20.303946+00:00,Super Gremlin,Kodak Black,"#Multiverse, If the Multiverse Is Real",71,200547,True,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,4,hip-hop,"[Intro]
Yeah, we could be superstars
We been rather wreckin' cars (Ayy bro, is that Jambo?)
What is at stake for us?
Kickin' off power mirrors
Yeah, we could be superstars
But I'm pretty sure our time is up
And so we fell off the spinning tops
Don't know, maybe for trial
But way more error (ATL Jacob, ATL Jacob)

[Verse 1]
Say you my nigga, I'ma be your killer
Nobody gon' play with you when I'm with you
Go against any nigga, like, fuck this glitter
Skeet off third, I'm busy
I put it in for you, I spin for you
Whatever you with, I'm with it
How you gon' cross a nigga that was rockin' with you? I got you lit in the city
I been multitaskin', rappin' and bein' a daddy to my lil' children
I been standin' on business, and spinnin' and spinnin' and spinnin' until I'm dizzy
I do all the smackin', you ain't never stepped or helped with none of this killin'
You doin' a lot of cappin', watch when I catch you, I'ma whack you in front of thе witness
[Chorus]
Damn, my nigga, you trippin'
We could've been supеrstars
Remember when we was jackin' cars
Now, it's not safe for you
You switched like a pussy, lil' bitch
Damn, my nigga, you trippin'
We could've been superstars
Can't help it, now I'm reminiscing
Remember when we was jackin' cars
Now, you better keep your distance
'Cause it's not safe for you
You switched like a pussy, lil' bitch

[Post-Chorus]
Trackhawk with the kit, snatch off on the bitch, when I slide
Nightlight on the blick, bet I'm on my shit when I'm outside
Zoe done ran down, caught him pants down, nigga, you shitted
I knew the Perc' was fake, but I still ate it 'cause I'm a gremlin

[Verse 2]
Yeah, Kutthroat Businezz, KTB, backdoor wide open
Wait 'til my sniper get out, all you niggas gon' die, time rollin'
Bustin' on my opponent, no half-steppin', crushin' my opps totally
We was just broke with no motion
Sleepin' on sofas, creepin' in houses like roaches
I done went cages, to stages, to cages
Now free me, baby, can't keep me, baby
I beat them cases, they already hate me
They gon' want me dead when I'm on probation
Oh, y'all think lil' Yak retarded?
Y'all ain't seen none yet, I promise
Niggas can't take me, niggas can't guard me
I be on a fuck nigga ass like Charmin
AK, twenty-inch carbon
[Chorus]
We could've been superstars
Remember when we was jackin' cars
Now, it's not safe for you
You switched like a pussy, lil' bitch
Damn, my nigga, you trippin'
We could've been superstars
Can't help it, now I'm reminiscing
Remember when we was jackin' cars
Now, you better keep your distance
'Cause it's not safe for you
You switched like a pussy, lil' bitch

[Post-Chorus]
Trackhawk with the kit, snatch off on the bitch, when I slide
Nightlight on the blick, bet I'm on my shit when I'm outside
Zoe done ran down, caught him pants down, nigga, you shitted
I knew the Perc' was fake, but I still ate it 'cause I'm a gremlin

[Outro]
Yeah, we could be superstars (Super Gremlin)
But I'm pretty sure our time is up (Now your time is up)
And so we fell off the spinning tops
Don't know, maybe for trial, but way more error
I ain't slimy, I'm grimy
Any way you put it, I'm SG with it, I'm Super Gremlin
Snatch and grab, sneak and geek, Sniper Gang, trust
Nightmare, baby, you know I-
I bet you always see me in your dreams
Glee",en,0.3569785394938662,1Y5Jvi3eLi4Chwqch9GMem
285,billboard,billboard.com,hot-100,,2019-06-01,55.0,Bury A Friend,Billie Eilish,2025-11-22T16:49:02.534815+00:00,bury a friend,Billie Eilish,Halloween Songs | Witches Hour,75,193143,False,0.887,0.388,8,-14.505,1,0.349,0.739,0.143,0.106,0.205,120.035,4,electro,"Billie

What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?

Come here
Say it, spit it out, what is it exactly
You're payin'? Is the amount cleanin' you out? Am I satisfactory?
Today, I'm thinkin' about the things that are deadly
The way I'm drinkin' you down
Like I wanna drown, like I wanna end me

Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ah-ahh)
Cannibal class, killing the son (Ahh)
Bury a friend, I wanna end me

I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…

What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?

Listen
Keep you in the dark, what had you expected?
Me to make you my art and make you a star
And get you connected?
I'll meet you in the park, I'll be calm and collected
But we knew right from the start that you'd fall apart
'Cause I'm too expensive
It's probably somethin' that shouldn't be said out loud
Honestly, I thought that I would be dead by now (Wow)
Calling security, keepin' my head held down
Bury the hatchet or bury a friend right now

The debt I owe, gotta sell my soul
'Cause I can't say no, no, I can't say no
Then my limbs all froze and my eyes won't close
And I can't say no, I can't say no
Careful

Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ah-ahh)
Cannibal class, killing the son (Ahh)
Bury a friend, I wanna end me

I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…

What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?",en,0.3451536833308637,4SSnFejRGlZikf02HLewEF
284,billboard,billboard.com,billboard-200,,2025-11-08,124.0,Born To Die,Lana Del Rey,2025-11-10T11:31:16.010845+00:00,Born To Die,Lana Del Rey,Halloween & Alternative,60,286253,False,0.206,0.636,4,-6.591,0,0.0418,0.211,0.000118,0.217,0.394,77.797,4,pop,"[Intro: Lana Del Rey & 
Mountain
]
Why? (
Got that?
)
Who? Me? (
Louder
)
Why? (
Got that?
)

Feet don't fail me now, take me to the finish line
Oh, my heart, it breaks every step that I take
But I'm hoping that the gates, they'll tell me that you're mine
Walking through the city streets, is it by mistake or design?
I feel so alone on a Friday night
Can you make it feel like home if I tell you you're mine?
It's like I told you, honey (
Louder
)

Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (
Louder, alright
)
Choose your last words, this is the last time
'Cause you and I, we were born to die

Lost, but now I am found
I can see that, once, I was blind
I was so confused as a little child
Tried to take what I could get, scared that I couldn't find
All the answers, honey (
Louder
)

Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (
Louder, alright
)
Choose your last words, this is the last time
'Cause you and I, we were born to die

(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die, we were born to die)
We were born to die
Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane

So don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (
Louder, alright
)
Choose your last words, this is the last time
'Cause you and I, we were born to die

(Louder)
(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Got that?)
(Louder)",en,0.5137695670127869,5wEreUfwxZxWnEol61ulIi
283,billboard,billboard.com,hot-100,,2011-06-04,41.0,Judas,Lady Gaga,2025-11-22T16:33:59.805187+00:00,Judas,Lady Gaga,Pop & Halloween,10,249066,False,0.661,0.937,10,-3.83,0,0.0744,0.000967,1.58e-05,0.355,0.535,130.999,4,dance,"[Intro]
Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as

[Refrain]
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Gaga
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Gaga

[Verse 1]
When he calls to me, I am ready
I'll wash his feet with my hair if he needs
Forgive him when his tongue lies through his brain
Even after three times he betrays me
[Pre-Chorus]
(Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah)
I'll bring him down, bring him down, down
(Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah)
A king with no crown, king with no crown

[Chorus]
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as

[Refrain]
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Gaga

[Verse 2]
I couldn't love a man so purely
Even prophets forgave his goofy way
I've learned love is like a brick
You can build a house or sink a dead body
[Pre-Chorus]
(Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah)
I'll bring him down, bring him down, down
(Ah-ah, ah-ah-ah-ah, ah-ah, ah-ah-ah-ah)
A king with no crown, king with no crown

[Chorus]
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
I'm just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as
Woah-woah-woah-woah-woah
I'm in love with Juda-as, Juda-as

[Breakdown]
Ew...
Ew...
In the most Biblical sense, I am beyond repentance
Fame hooker, prostitute, wench vomits her mind
But in the cultural sense, I just speak in future tense
Judas, kiss me, if offensed, or wear ear condom next time

[Bridge]
I wanna love you
But something's pulling me away from you
Jesus is my virtue, and Judas is the demon I cling to
I cling to
[Chorus]
Just a Holy Fool, oh baby
It's so cruel, but I'm still in love with Judas, baby
I'm just a Holy Fool, oh baby (Just a Holy Fool, woah-oh-oh-oh)
It's so cruel, but I'm still in love with Judas, baby
Woah-woah-woah-woah-woah (Woah-oh-oh-oh-oh)
I'm in love with Juda-as, Juda-as (Juda-a-a-as)
Woah-woah-woah-woah-woah (Woah-oh-oh-oh-oh)
I'm in love with Juda-as, Juda-as (Juda-a-a-as)

[Outro]
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Juda-ah-ah
Judas, Gaga",en,0.4746251795440912,7F25roCtYi55JouckaayPC
282,billboard,billboard.com,hot-100,,2017-06-03,54.0,Heavy,Linkin Park Featuring Kiiara,2025-11-22T16:45:13.029007+00:00,Heavy,Linkin Park;Kiiara,Heavy,18,169800,False,0.587,0.682,6,-6.091,0,0.0963,0.0345,0.0,0.0586,0.374,149.978,4,grunge,"I don't like my mind right now
Stacking up problems that are so unnecessary
Wish that I could slow things down
I wanna let go but there's comfort in the panic
And I drive myself crazy
Thinking everything's about me
Yeah, I drive myself crazy
'Cause I can't escape the gravity

I'm holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

You say that I'm paranoid
But I'm pretty sure the world is out to get me
It's not like I make the choice
To let my mind stay so fucking messy
I know I'm not the center of the universe
But you keep spinning 'round me just the same
I know I'm not the center of the universe
But you keep spinning 'round me just the same

I'm holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

I know I'm not the center of the universe
But you keep spinning 'round me just the same
I know I'm not the center of the universe
But you keep spinning 'round me just the same
And I drive myself crazy
Thinking everything's about me

Holding on
Why is everything so heavy?
Holding on
To so much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?

Why is everything so heavy?
Why is everything so heavy?",en,0.2735724827507511,
