word,happs,stdDev
الجنة,8.5,1.09
سعادة,8.38,0.9
الله,8.38,1.23
السعادة,8.24,1.17
الحب,8.18,1.0
الضحك,8.14,1.11
حبيبى,8.1,1.09
ضحك,8.1,0.97
لله,8.08,1.65
سعداء,8.08,1.05
سعيدا,8.06,1.13
احبك,8.06,1.04
ناجح,8.04,0.97
أضحك,8.04,1.05
حبيبتى,8.04,0.99
أمي,8.04,1.31
سرور,8.02,1.02
سعيده,8.02,1.1
المضحك,8.0,0.95
امي,8.0,1.29
الفوز,7.98,0.98
حبيبتي,7.98,1.13
الملائكة,7.98,1.04
يضحك,7.98,1.08
مضحكة,7.98,1.19
نجحت,7.98,1.25
بسعادة,7.96,1.24
النجاح,7.96,1.12
العيد,7.96,1.19
الزفاف,7.96,1.09
سعيدة,7.94,1.08
بالله,7.94,1.54
ماما,7.94,1.3
رائع,7.94,1.1
والدتي,7.92,1.24
أمى,7.92,1.38
نجاح,7.92,1.29
سعيد,7.9,1.25
الأم,7.9,1.15
حبيب,7.9,1.05
تضحك,7.88,1.15
حب,7.88,1.27
المرح,7.88,0.96
مرح,7.88,1.12
نجحنا,7.86,1.05
مضحك,7.86,1.09
ممتاز,7.84,1.33
أحبك,7.84,1.28
مسرورة,7.84,1.04
رائعة,7.82,1.06
مبروك,7.82,1.1
رائعا,7.8,1.03
تحبنى,7.8,1.03
أطفالي,7.8,1.21
السعيد,7.8,1.03
بالحب,7.78,1.02
أصدقائى,7.78,1.13
الجميلة,7.78,0.97
حبي,7.78,1.04
love,7.78,1.69
حبيبي,7.76,1.15
ممتازة,7.76,1.02
الإحتفال,7.76,1.04
بالسعادة,7.76,1.19
تحبك,7.76,1.35
الحرية,7.76,1.2
متعة,7.76,1.1
الأمان,7.74,1.19
السعيدة,7.74,1.47
الجميلات,7.74,0.99
أجازة,7.72,1.18
الرائعة,7.72,0.97
الرب,7.7,1.34
ربحت,7.7,1.3
جميلة,7.7,1.25
والدتك,7.7,1.28
ممتعة,7.7,1.18
رائعون,7.7,1.05
حبك,7.7,1.42
الورود,7.68,1.19
الاحتفال,7.68,1.08
الام,7.68,1.81
يفوز,7.68,1.06
ممتع,7.68,0.91
ينجح,7.68,1.11
والدى,7.68,1.36
الفائز,7.68,1.02
امى,7.66,1.52
يحبك,7.66,1.53
حفلة,7.66,1.15
لأمي,7.66,1.41
الصلاة,7.66,1.41
أبي,7.66,1.39
مسرور,7.66,1.35
ربي,7.64,1.64
محظوظين,7.64,0.98
يحب,7.64,1.03
الاطفال,7.64,1.41
يحبني,7.64,1.26
والداي,7.64,1.4
رائعين,7.62,0.97
حفلات,7.62,1.14
زفاف,7.62,1.51
فائز,7.62,1.37
أحبه,7.62,1.12
طفلك,7.62,1.18
فاز,7.6,1.21
نحتفل,7.6,0.99
تحبني,7.6,1.2
الكنز,7.6,1.16
رومانسية,7.6,1.2
نتزوج,7.6,1.2
الخير,7.6,1.14
الشاطىء,7.6,1.11
الحفلة,7.6,0.99
عائلتى,7.6,1.34
أطفالك,7.6,1.31
الالعاب,7.6,1.05
الهدية,7.58,0.86
أحبها,7.58,1.16
رائعه,7.58,1.2
سعدت,7.58,1.18
لذيذ,7.58,0.93
الزهور,7.56,1.15
المحظوظ,7.56,1.13
قمر,7.56,1.37
أصدقاء,7.56,1.15
الهدايا,7.56,1.07
ممتعا,7.56,1.18
والديك,7.56,1.39
يحبها,7.56,1.33
جذابة,7.56,1.15
تفوز,7.56,1.21
فزت,7.56,1.36
الصداقة,7.56,1.13
العائلة,7.56,1.31
سروري,7.56,1.03
ربحنا,7.56,1.26
ابنتى,7.54,1.39
عيد,7.54,1.46
جميله,7.54,1.09
نجح,7.54,1.27
الاصدقاء,7.54,1.07
الأصدقاء,7.52,1.09
عبقري,7.52,1.16
احبها,7.52,1.22
رب,7.52,1.52
زواجي,7.52,1.4
والدك,7.52,1.4
الجميله,7.52,0.97
قبلة,7.52,1.18
محبوب,7.52,1.07
ابني,7.52,1.37
شجاعة,7.52,1.16
المتعة,7.52,1.31
الحفله,7.5,1.2
تبتسم,7.5,0.99
الجائزة,7.5,1.18
إبنك,7.5,1.39
ناجحة,7.5,1.31
فاتنة,7.5,1.13
حبى,7.5,1.43
الزواج,7.5,1.28
الحفلات,7.5,1.15
ثروة,7.5,1.27
أستمتع,7.5,1.28
الرائع,7.5,1.22
الذكي,7.5,1.18
هدية,7.5,1.11
مضحكا,7.5,1.28
أحببت,7.5,1.17
الرومانسية,7.5,1.2
هدايا,7.48,1.15
صديق,7.48,1.07
تهانينا,7.48,1.16
والدي,7.48,1.43
زهور,7.48,1.09
نكتة,7.48,1.23
جائزة,7.48,1.11
تزوج,7.48,1.16
أحب,7.48,1.13
استمتعت,7.48,1.22
الألعاب,7.48,1.2
جميل,7.48,1.09
وردة,7.48,1.07
حفله,7.46,1.39
طفلي,7.46,1.25
تزوجت,7.46,1.25
اصدقاء,7.46,1.16
تحب,7.46,1.05
الجميل,7.46,1.11
احبه,7.46,1.18
وأمي,7.46,1.4
بابا,7.46,1.54
عائلتي,7.44,1.28
ابنك,7.44,1.46
طفلتي,7.44,1.25
محظوظون,7.44,0.93
تنجح,7.44,1.09
الصحة,7.44,1.25
عظيم,7.44,1.01
تربح,7.44,1.25
إبني,7.44,1.36
صديقى,7.44,1.11
حلوة,7.44,0.91
للروعة,7.42,1.14
مهرجان,7.42,1.11
ذكاء,7.42,1.2
أحببتها,7.42,1.5
بطل,7.42,1.13
جميلا,7.42,1.01
الحلوة,7.42,1.18
أطفال,7.42,1.16
ملاك,7.42,1.26
فخورة,7.42,1.29
الصديق,7.42,1.05
ابى,7.42,1.26
أحببته,7.42,1.25
رضيع,7.42,1.18
ابنتي,7.42,1.33
أغنياء,7.42,1.14
تحبينه,7.42,1.14
النصر,7.42,1.28
لذيذة,7.4,1.09
مذهل,7.4,1.14
كنز,7.4,1.34
الرحمة,7.4,1.14
تهاني,7.4,1.31
أبى,7.4,1.55
اللطيف,7.4,1.26
طفلة,7.4,1.11
أطفالنا,7.4,1.37
للأطفال,7.4,1.07
محظوظ,7.4,1.21
ابي,7.4,1.32
