word,happs,stdDev
사랑합니다,7.84,1.27
사랑해,7.84,1.25
사랑해요,7.8,1.21
축하합니다,7.64,1.24
행복,7.62,1.44
happy,7.62,1.38
Happy,7.62,1.26
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.6,1.53
사랑,7.6,1.37
축하드립니다,7.58,0.99
행복해,7.56,1.46
사랑한다,7.54,1.3
HAPPY,7.54,1.42
메리크리스마스,7.52,1.36
행복하다,7.5,1.45
love,7.5,1.47
사랑한다고,7.46,1.07
행복한,7.44,1.43
축하드려요,7.44,0.99
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.44,1.7
사랑하고,7.42,1.13
최고,7.4,1.32
고마워,7.4,1.29
축하해,7.4,0.97
Christmas,7.38,1.47
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.36,1.45
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.36,1.75
사랑하는,7.34,1.36
크리스마스,7.34,1.21
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.32,1.82
해피,7.32,1.48
행복하고,7.32,1.22
크리스마스날,7.3,1.3
환영합니다,7.3,1.2
이쁘다,7.3,0.95
크리스마스가,7.3,1.33
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.3,1.84
감사합니다^^,7.28,1.31
Best,7.28,1.31
사랑의,7.28,1.23
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.28,1.69
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.28,1.37
웃음,7.26,1.17
선물,7.24,1.24
사랑은,7.24,1.14
사랑이,7.24,1.19
즐거운,7.24,1.04
즐겁고,7.24,1.1
성탄절,7.22,1.37
화이팅,7.22,1.45
행복한거야,7.22,1.3
축하해요,7.22,1.17
ㅎㅎㅎㅎㅎ,7.2,1.12
훌륭합니다,7.2,1.18
좋아해,7.2,1.03
Love,7.2,1.53
감사해요,7.18,1.14
예쁜,7.18,0.98
멋졌어요,7.16,1.09
안녕하세요^^,7.16,1.04
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.16,1.3
크리스마스때,7.16,1.46
하하하하,7.16,1.23
1위,7.16,1.65
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.14,1.41
성공,7.14,1.32
크리스마스에,7.14,1.47
감사합니다,7.14,1.25
christmas,7.14,1.48
신난다,7.12,1.19
행복이,7.12,1.38
감동,7.12,1.1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.12,1.59
축하,7.12,1.21
승리,7.12,1.21
ㅋㅋㅋㅋㅋㅋㅋ,7.12,1.12
행복하게,7.1,1.33
반갑습니다,7.1,1.09
행복하세요,7.1,1.3
크리스마스는,7.1,1.4
사랑으로,7.1,1.2
기쁜,7.1,1.07
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7.1,1.66
크리스마스를,7.1,1.17
예쁘다,7.08,1.28
결혼,7.08,1.21
멋지다,7.08,1.21
희망이,7.08,1.05
귀여워,7.08,0.94
당첨,7.08,1.37
이뻐요,7.08,1.24
Birthday,7.06,1.28
고맙다,7.06,1.11
반갑다,7.06,1.25
희망,7.06,1.13
재밌다,7.06,1.2
고마운,7.06,1.15
내사랑,7.04,1.38
아름다운,7.04,1.19
훌륭한,7.04,1.16
연애,7.04,1.19
감사드립니다,7.04,1.12
칭찬,7.04,1.11
성탄,7.02,1.3
고맙습니다,7.02,1.12
thanks,7.02,1.29
반가운,7.02,1.13
하하하,7.02,1.32
축하할,7.02,1.25
즐겁게,7.02,1.24
이쁘고,7.02,1.08
좋은하루,7.02,1.24
Thanks,7.0,1.39
믿음,7.0,1.09
귀엽고,7.0,1.2
페스티벌,7.0,1.26
멋있다,7.0,1.05
파이팅,7.0,1.4
야호,7.0,1.23
맛있다,7.0,1.07
오예,7.0,1.21
hope,7.0,1.21
'행복나눔,7.0,1.43
기쁘군요,7.0,1.16
ㅋㅋㅋㅋㅋㅋㅋㅋ,7.0,1.48
당첨자,7.0,1.21
최고의,6.98,1.32
귀여워서,6.98,1.04
대박,6.98,1.42
good,6.98,1.32
성공한,6.98,1.32
맛있게,6.98,1.1
반갑다야,6.98,1.19
따뜻한,6.98,0.82
사랑에,6.98,1.39
홧팅,6.98,1.3
best,6.98,1.42
좋아합니다,6.96,1.11
달콤한,6.96,0.95
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6.96,1.56
대단하다,6.96,1.21
great,6.96,1.21
자유롭게,6.96,1.05
사랑을,6.96,1.31
행운이,6.96,1.28
재미있는,6.96,1.11
예쁘게,6.96,1.14
땡큐,6.96,1.24
데이트,6.94,1.25
좋아해요,6.94,1.27
행복을,6.94,1.27
ㅋㅋㅋㅋㅋㅋ,6.94,1.45
밝은,6.94,1.04
맛있어,6.94,1.08
꽃,6.94,1.19
^o^,6.94,1.22
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6.94,1.58
이뻐,6.94,1.19
애인,6.94,1.2
강추~,6.92,1.28
Music,6.92,1.34
완벽해,6.92,1.28
예뻐,6.92,1.19
신나게,6.92,1.16
고마워요,6.92,1.01
감사한,6.92,1.14
좋아요,6.92,1.29
반가워,6.92,1.1
ㅎㅎㅎㅎ,6.9,1.13
웃음이,6.9,0.99
행운의,6.9,1.23
보석,6.9,1.34
재밌어,6.9,1.15
귀여운,6.9,1.22
으하하,6.9,1.15
이쁘게,6.9,1.11
브라보,6.9,1.18
완벽하군요,6.9,1.33
[대박,6.9,1.47
이쁜이,6.9,1.25
자유,6.88,1.33
귀여워요,6.88,0.96
Good,6.88,1.33
반가워요,6.88,1.15
사랑과,6.88,1.26
좋다,6.88,1.06
감사해,6.88,1.04
좋아하는,6.88,1.02
감사합니다~,6.88,1.06
감사하고,6.88,1.14
새해복,6.88,1.29
Thank,6.88,1.38
환호,6.86,1.2
맛있겠다,6.86,1.05
신나는,6.86,1.2
건강해,6.86,1.03
고마와요,6.86,0.95
결혼식,6.86,1.21
휴가,6.86,1.46
ㅎㅎㅎㅎㅎㅎ,6.86,1.51
방긋,6.84,1.27
원더풀,6.84,1.31
좋아해서,6.84,0.98
결혼했다,6.84,1.25
좋은글,6.84,1.23
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6.84,1.67
찬스~,6.84,1.04
월급,6.84,1.38
달콤해,6.84,1.04
귀엽다,6.82,1.16
반갑네,6.82,1.06
휴식,6.82,1.26
산타가,6.82,1.51
굿모닝,6.82,1.29
네^^,6.82,1.24
희망을,6.82,1.16
여행,6.82,1.3
하하,6.8,1.25
따뜻하고,6.8,1.03
멋져요,6.8,1.2
긍정적인,6.8,1.31
좋음,6.8,1.21
착하다,6.8,1.09
웃으면서,6.78,1.22
맛있는,6.78,1.18
유머감각,6.78,1.09
굿,6.78,1.36
편안하게,6.78,1.11
굿모닝~,6.78,1.13
재밌게,6.78,1.23
보내세요^^,6.78,1.13
친절하시네요,6.76,1.12
속시원한,6.76,1.14
멋진,6.76,1.19
감사,6.76,1.17
하트,6.76,1.32
웃는,6.76,1.19
멋있는,6.76,0.98
ㅋㅋㅋ아,6.76,1.12
복,6.76,1.41
좋아,6.76,1.38
