word,happs,stdDev
люблю,8.22,0.82
любовь,8.22,1.0
счастлива,8.2,0.83
счастливый,8.2,1.03
любить,8.16,0.87
счастье,8.12,1.02
любимая,8.1,0.95
счастливая,8.1,0.91
счастливы,8.08,1.03
счастливой,8.08,0.94
счастья,8.04,0.95
любимый,8.04,0.92
счастлив,8.04,1.11
прекрасный,8.0,0.93
счастливым,8.0,0.99
радость,7.98,1.06
влюблен,7.94,0.91
любимой,7.92,0.94
великолепно,7.92,1.16
чудесный,7.92,0.92
любимым,7.92,0.99
любовью,7.9,1.09
прекрасной,7.88,0.98
счастью,7.88,1.12
любишь,7.88,1.06
прекрасная,7.88,0.92
счастливого,7.88,0.94
прекрасно,7.86,0.93
любви,7.86,1.07
отлично,7.86,1.14
прекрасна,7.84,0.96
любимые,7.84,1.06
любимых,7.84,0.93
чудесно,7.82,0.98
wonderful,7.82,0.96
любимого,7.82,1.08
влюбилась,7.8,0.97
отличная,7.8,0.97
happy,7.8,1.12
лучший,7.8,1.09
успех,7.8,1.12
счастливо,7.8,1.21
превосходно,7.78,1.17
отличное,7.76,1.15
любимую,7.76,0.98
потрясающе,7.76,1.14
любит,7.76,1.02
замечательный,7.74,1.07
свадьба,7.74,1.27
победа,7.72,1.16
отличный,7.72,1.07
рай,7.72,1.26
влюбился,7.72,0.83
радости,7.72,1.07
праздник,7.7,0.97
обожаю,7.7,1.04
прекрасные,7.7,1.15
новогоднюю,7.7,1.11
love,7.7,1.23
радоваться,7.68,0.94
удовольствие,7.68,1.2
подарки,7.68,1.06
прекрасное,7.68,1.08
маме,7.68,1.22
смех,7.66,1.1
мама,7.66,1.22
красивая,7.66,0.98
улыбка,7.66,0.87
смешно,7.64,0.96
любим,7.64,1.06
любимое,7.64,0.98
радостью,7.62,1.07
дружба,7.62,1.01
улыбкой,7.62,0.99
праздники,7.6,0.97
красивое,7.6,0.95
красавица,7.6,0.99
поцеловать,7.6,0.97
любят,7.6,0.95
лучшая,7.6,1.2
шикарно,7.6,0.97
умница,7.58,0.99
красивый,7.58,0.95
пoдарок,7.58,0.91
замечательная,7.58,1.01
поцелуй,7.58,1.01
улыбаться,7.58,0.95
замечательно,7.56,1.18
ура,7.56,1.07
новогодний,7.56,1.11
красота,7.56,0.93
праздника,7.56,1.01
весело,7.56,1.05
добрые,7.54,1.01
удача,7.54,1.16
красивой,7.54,0.93
добрый,7.52,1.03
смеется,7.52,1.11
рождества,7.5,1.27
рождество,7.5,1.5
удачу,7.5,0.97
добра,7.5,1.02
восторге,7.5,1.25
поздравления,7.5,0.93
супер,7.5,1.27
smile,7.5,1.25
красивые,7.5,1.04
поздравляем,7.48,0.95
урааа,7.48,1.18
чудо,7.48,1.27
новогоднего,7.48,1.07
победой,7.48,1.09
выходные,7.46,1.16
новогоднее,7.46,1.13
новогодние,7.44,1.05
beautiful,7.44,1.3
маму,7.44,1.34
добро,7.44,1.07
юмор,7.44,1.05
молодцы,7.44,0.97
super,7.44,1.34
шикарный,7.44,1.21
выиграли,7.44,1.16
солнышко,7.44,1.09
best,7.44,1.33
смеяться,7.44,0.99
любите,7.42,1.16
выходной,7.42,1.11
подарок,7.42,1.11
добрая,7.42,0.91
свобода,7.42,1.21
лучшее,7.42,1.26
смеха,7.42,1.16
красивых,7.4,0.97
красиво,7.4,1.11
birthday,7.4,1.41
holidays,7.4,1.26
праздновать,7.4,0.93
мамы,7.4,1.16
идеально,7.4,1.28
браво,7.4,1.14
доброе,7.4,1.03
отличные,7.4,1.29
молодец,7.38,1.07
выиграл,7.38,1.18
победить,7.38,1.16
мамочка,7.38,1.43
удовольствия,7.38,1.19
новогодних,7.38,1.07
классно,7.38,1.26
сюрприз,7.38,1.1
богатство,7.38,1.23
выиграла,7.38,1.18
победу,7.38,1.31
смешного,7.38,0.97
красоты,7.38,0.99
perfect,7.36,1.5
лучшего,7.36,1.01
любимый-это,7.36,1.31
поздравление,7.36,1.05
победил,7.36,1.26
классные,7.36,1.03
милая,7.36,0.92
нравиться,7.36,0.92
новогодняя,7.36,0.98
удовольствием,7.36,1.19
ахахахаха,7.34,1.69
друзья,7.34,1.17
доброй,7.34,1.0
kiss,7.34,1.19
новогодней,7.34,1.14
каникулы,7.34,1.3
доброго,7.34,1.0
удачи,7.34,1.02
loves,7.34,1.17
нравлюсь,7.34,1.12
успехом,7.34,1.0
успешно,7.32,0.91
лучшие,7.32,1.13
paradise,7.32,1.39
удачно,7.32,1.08
чудеса,7.32,1.06
приятно,7.32,1.08
добрым,7.32,1.0
милые,7.32,0.96
чудес,7.32,1.08
радует,7.3,0.99
люби,7.3,1.09
симпатичный,7.3,0.97
рад,7.3,1.04
мамой,7.3,1.22
поздравляю,7.3,0.95
успеха,7.3,1.05
милый,7.28,1.01
поздравить,7.28,1.01
прелесть,7.28,1.14
вкусно,7.28,0.93
funny,7.28,1.11
классный,7.28,1.09
нравишься,7.28,0.9
умная,7.28,1.07
родители,7.28,1.28
подарками,7.28,1.11
хорошего,7.28,1.09
дружбы,7.28,1.03
друзьями,7.26,1.01
доволен,7.26,1.05
победила,7.26,1.19
лучших,7.26,1.17
ангел,7.26,1.27
отдыхать,7.24,1.17
хорошая,7.24,0.92
папочка,7.24,1.32
симпатичная,7.24,0.89
приз,7.24,1.12
гений,7.22,1.11
приятный,7.22,1.0
понравился,7.22,1.02
свадьбе,7.22,1.17
хорошую,7.22,0.91
лучшим,7.22,1.25
выиграть,7.22,1.18
ахахаха,7.22,1.59
праздником,7.22,1.04
юмора,7.2,1.12
солнце,7.2,1.28
сладкая,7.2,1.07
родной,7.2,1.12
отдых,7.2,1.09
хорошей,7.2,0.86
классная,7.2,1.07
хороший,7.2,1.18
рождеством,7.2,1.34
шутки,7.18,1.14
свадьбу,7.18,1.3
хорошее,7.18,0.94
хорошо,7.18,1.06
детство,7.18,1.19
умный,7.18,1.02
здоров,7.18,1.06
хороша,7.18,0.92
выходных,7.18,1.19
вечеринка,7.18,1.14
здорово,7.16,1.13
невеста,7.16,1.09
nice,7.16,1.23
богатства,7.16,1.22
смешные,7.16,1.02
хорошие,7.16,0.98
отпуск,7.16,1.33
семья,7.16,1.08
спасибо,7.16,1.04
красавчик,7.16,1.18
holiday,7.16,1.15
герой,7.16,1.23
мечта,7.16,1.13
папа,7.14,1.29
путешествие,7.14,1.23
любили,7.14,1.36
sweet,7.14,1.16
christmas,7.14,1.36
хахаха,7.14,1.43
друг,7.14,1.26
подарить,7.12,1.04
праздников,7.12,1.26
welcome,7.12,1.15
победы,7.12,1.0
добре,7.12,1.0
приятное,7.12,1.08
лето,7.12,1.32
друзьям,7.1,1.05
благо,7.1,1.18
рада,7.1,1.04
приятного,7.1,0.91
дружище,7.1,0.91
приятных,7.1,1.18
понравилось,7.1,0.93
enjoy,7.1,1.36
хороших,7.08,1.03
жив,7.08,1.18
целую,7.08,1.23
свободы,7.08,1.28
шутка,7.08,1.14
нравятся,7.08,0.94
luck,7.06,1.3
бабушка,7.06,1.13
мечтаю,7.06,1.15
вкусный,7.06,1.1
чемпион,7.06,1.33
удачного,7.06,1.15
успехи,7.06,1.02
шоколад,7.06,1.27
свободной,7.06,1.15
обнять,7.06,1.08
friends,7.06,1.46
мам,7.04,1.24
славный,7.04,1.14
благодарен,7.04,0.97
живой,7.04,1.23
мир,7.04,1.34
кайф,7.04,1.34
хорош,7.02,0.96
good,7.02,1.0
весна,7.02,1.15
рады,7.02,1.2
friend,7.02,1.3
святая,7.02,1.35
нравится,7.02,0.89
матерью,7.02,1.3
друзей,7.02,1.2
солнца,7.0,1.23
горжусь,7.0,1.03
торт,7.0,0.95
хороши,7.0,0.93
вечеринки,7.0,1.16
свадьбы,7.0,1.26
сладкий,7.0,1.09
поздравил,7.0,0.95
бонус,7.0,1.11
sun,7.0,1.41
хорошем,6.98,1.04
свободе,6.98,1.2
лучшей,6.98,1.2
добры,6.98,1.02
дорогая,6.98,1.3
мило,6.98,1.1
life,6.98,1.46
семью,6.98,1.25
выспался,6.98,1.08
great,6.98,1.24
прикольный,6.98,1.12
здоровье,6.96,1.03
успехов,6.96,0.95
подарили,6.96,1.05
молодой,6.96,1.12
поблагодарить,6.96,0.97
другу,6.96,1.11
свободен,6.96,1.01
свидание,6.96,1.29
повезло,6.94,1.0
семьей,6.94,1.32
благодарю,6.94,0.91
свободны,6.94,1.13
слава,6.94,1.2
жизнь,6.94,1.39
гордиться,6.94,1.13
сестра,6.94,1.04
favorite,6.94,1.32
подарков,6.94,1.13
вечеринку,6.92,1.28
друга,6.92,1.19
талант,6.92,1.16
мать,6.92,1.38
цветы,6.92,1.12
ребенок,6.92,1.14
отдохнуть,6.92,1.12
забавно,6.92,0.97
женился,6.92,1.26
подруга,6.92,1.14
золотой,6.92,1.28
хорошим,6.92,0.99
шучу,6.92,1.18
музыка,6.9,1.3
малыш,6.9,1.17
триумфальная,6.9,1.3
fun,6.9,1.27
понравилась,6.9,0.84
королева,6.9,1.17
героев,6.9,1.18
мороженое,6.9,1.15
каникул,6.9,1.18
мечты,6.9,1.04
молодая,6.88,0.96
вечеринке,6.88,1.14
конфеты,6.88,1.08
сын,6.88,1.26
интересное,6.88,1.0
удивительно,6.88,1.04
дар,6.88,1.04
анекдот,6.86,1.2
жениться,6.86,1.16
награду,6.86,1.14
like,6.86,1.18
удовлетворения,6.86,1.16
summer,6.86,1.29
принцесса,6.86,1.21
дарить,6.86,1.07
win,6.86,1.53
dream,6.86,1.25
дети,6.86,1.2
свободу,6.86,1.05
интересная,6.86,1.03
интересные,6.86,0.88
рождение,6.86,1.11
прикольные,6.84,1.09
жива,6.84,1.23
дочка,6.84,1.28
уважение,6.84,0.91
повезет,6.84,1.17
великое,6.84,1.2
лучше,6.84,1.02
fine,6.84,1.15
подарил,6.82,0.98
природа,6.82,1.17
family,6.82,1.53
искусство,6.82,1.08
thanks,6.82,1.04
девушки,6.82,1.21
круто,6.82,1.4
better,6.82,1.1
подарила,6.82,0.98
понравится,6.82,1.02
ахахха,6.82,1.62
семье,6.82,1.08
живы,6.82,1.21
прикол,6.82,1.32
ребёнок,6.82,1.22
родителей,6.8,1.16
женой,6.8,1.18
pretty,6.8,1.18
святой,6.8,1.26
родителям,6.8,1.21
умные,6.8,1.01
лучшему,6.8,1.31
детства,6.8,1.16
доверие,6.8,0.99
шутишь,6.8,1.09
воскресенье,6.8,1.23
танцевать,6.8,1.16
надежды,6.8,0.88
море,6.8,1.37
чувства,6.78,1.18
dear,6.78,1.17
дорогой,6.78,1.23
дочь,6.78,1.27
цветок,6.78,1.07
baby,6.78,1.23
уважения,6.78,0.93
здоровья,6.78,1.15
детям,6.78,1.17
sex,6.78,1.71
gift,6.78,1.25
здравствуй,6.78,1.07
свидания,6.78,1.09
премии,6.78,0.97
живым,6.78,1.25
молодые,6.78,1.13
шутите,6.78,1.02
надежду,6.76,0.89
искренне,6.76,1.15
матери,6.76,1.17
amazing,6.76,1.44
удалось,6.76,1.2
девчонки,6.76,1.06
роза,6.76,1.19
честное,6.76,0.98
золото,6.76,1.25
танцы,6.76,1.19
улучшения,6.76,1.06
золота,6.76,1.25
свободно,6.76,1.14
брат,6.76,1.04
сердцем,6.76,1.14
надежда,6.76,1.12
сладких,6.76,1.02
сказка,6.76,1.08
подружка,6.76,1.02
папы,6.76,1.35
чемпионов,6.76,1.12
ёлка,6.76,1.25
выспаться,6.74,1.07
интересный,6.74,0.94
совершенствование,6.74,1.31
семьи,6.74,1.21
жена,6.74,1.16
ахаха,6.74,1.5
улучшению,6.74,0.94
сказки,6.74,0.99
секс,6.74,1.85
героем,6.74,1.23
тепло,6.74,1.19
детей,6.74,1.26
ахахахах,6.74,1.8
знания,6.74,1.1
прибыль,6.74,1.19
любил,6.74,1.78
родителями,6.74,1.17
хаха,6.74,1.63
желание,6.74,1.05
творческой,6.74,1.1
рождения,6.74,1.01
жить,6.72,1.47
танец,6.72,1.13
интересно,6.72,0.95
ребёнка,6.72,1.13
ребенка,6.72,1.18
тепла,6.72,1.13
детьми,6.72,1.2
дитя,6.72,1.33
health,6.72,1.16
дочерью,6.7,1.13
честно,6.7,1.18
хорошенько,6.7,0.97
крутая,6.7,1.22
свободного,6.7,1.05
dance,6.7,1.11
music,6.7,1.23
привет,6.7,1.05
скидка,6.7,1.07
прикольно,6.7,1.61
интересного,6.7,1.04
dreams,6.7,1.11
героя,6.7,1.13
подари,6.7,1.02
отдыха,6.7,1.11
повышения,6.7,1.09
музыки,6.7,1.23
бесплатно,6.7,1.18
свободна,6.7,1.07
дочери,6.7,1.23
музыку,6.7,1.04
улучшение,6.7,0.79
везет,6.7,1.25
великий,6.68,1.25
рекорд,6.68,1.32
освобождение,6.68,1.15
сильный,6.68,1.15
триумфальной,6.68,1.27
душа,6.68,1.19
здравствуйте,6.68,0.98
детстве,6.68,1.08
мирного,6.68,1.08
детская,6.68,1.08
правильно,6.68,1.13
