word,happs,stdDev
快乐,7.82,1.48
喜悦,7.56,1.33
幸福,7.54,1.51
成功,7.48,1.33
可爱,7.46,1.18
漂亮,7.42,1.64
完美,7.4,1.75
健康,7.4,1.47
高兴,7.38,2.09
欣喜,7.34,1.45
精彩,7.32,1.43
优美,7.3,1.33
繁荣,7.28,1.54
冠军,7.24,1.56
优异,7.24,1.67
善良,7.24,1.2
欢乐,7.22,1.8
美好,7.22,1.64
祝贺,7.2,1.36
丰收,7.2,1.68
愉快,7.2,1.75
赞扬,7.2,1.25
辉煌,7.18,1.56
赞美,7.18,1.48
爱,7.18,1.93
优质,7.16,1.66
自豪,7.16,1.22
美,7.16,1.56
富强,7.16,1.6
恋爱,7.14,1.76
乐观,7.12,1.3
光荣,7.12,1.78
诚实,7.12,1.47
美妙,7.12,1.53
温暖,7.12,1.29
心爱,7.12,1.78
喜,7.1,1.76
真诚,7.08,1.72
幸运,7.08,1.52
奇迹,7.08,1.76
灿烂,7.08,1.47
光辉,7.06,1.41
享受,7.06,1.36
奖励,7.06,1.49
笑,7.06,1.88
诚信,7.06,1.75
新娘,7.04,1.87
突飞猛进,7.04,1.68
优秀,7.04,2.02
笑容,7.04,1.75
妈妈,7.02,1.79
优,7.02,1.73
喜欢,7.02,1.56
庆祝,7.0,1.56
壮丽,7.0,1.81
表扬,7.0,1.81
繁华,7.0,1.32
高贵,7.0,1.5
亲切,7.0,1.46
卓越,6.98,1.46
诚挚,6.98,1.49
母亲,6.96,1.69
优胜,6.96,1.68
满意,6.96,1.7
天才,6.94,1.8
欢呼,6.94,1.38
微笑,6.94,1.52
童话,6.94,1.3
丰厚,6.94,1.36
聪明,6.94,1.2
壮观,6.94,1.1
喜爱,6.94,1.43
兴旺,6.92,1.79
美丽,6.92,1.68
感激,6.92,1.1
大好,6.9,1.33
奉献,6.9,1.34
富,6.9,1.93
亲爱,6.9,1.73
哈哈,6.88,1.69
胜,6.88,1.71
富有,6.88,1.73
富余,6.88,1.48
感谢,6.88,1.51
出色,6.88,1.48
亲密,6.88,1.48
荣誉,6.88,1.51
创新,6.88,1.1
乐趣,6.86,1.4
好事,6.86,1.57
了不起,6.86,1.71
胜利,6.86,2.05
花朵,6.86,1.43
礼貌,6.86,1.34
称赞,6.86,1.41
信任,6.86,1.53
融洽,6.86,1.39
赞赏,6.86,1.46
可喜,6.86,1.55
奖,6.86,1.84
廉洁,6.86,1.57
勤奋,6.84,1.25
鼓励,6.84,1.11
激励,6.84,1.36
热情,6.84,1.66
浪漫,6.84,1.61
亲人,6.84,1.75
真挚,6.84,1.42
红利,6.84,1.2
高尚,6.84,1.65
乐,6.84,1.6
杰出,6.84,1.54
杰作,6.82,1.41
好评,6.82,1.42
慈善,6.82,1.29
强盛,6.82,1.34
舒适,6.82,1.24
