word,happs,stdDev
verliebt,8.14,1.11
peace,8.0,1.21
frieden,7.96,1.35
humor,7.94,0.89
liebe,7.94,1.46
wunderschöne,7.92,1.44
glück,7.92,1.26
wunderschönen,7.9,1.05
freunde,7.9,1.17
holiday,7.9,1.11
freiheit,7.88,1.52
lachen,7.84,1.42
lieben,7.84,1.58
urlaub,7.82,1.29
perfekt,7.82,1.35
glücklich,7.82,1.44
wunderschön,7.8,1.39
wunderbar,7.8,1.25
love,7.8,1.39
paradise,7.78,1.3
freude,7.78,1.25
weihnachtsfest,7.78,1.28
sunshine,7.78,1.45
kiss,7.76,1.52
freundschaft,7.76,1.2
schönheit,7.76,1.2
schönste,7.76,1.14
gesund,7.74,1.19
spaß,7.72,1.28
loves,7.72,1.31
freund,7.72,1.11
weihnachtszeit,7.7,1.23
wonderful,7.7,1.3
super,7.7,1.34
happy,7.7,1.61
freuen,7.68,1.11
weihnachten,7.68,1.52
liebes,7.66,1.14
geburtstag,7.66,1.41
glückwunsch,7.66,1.27
liebt,7.66,1.48
geschenke,7.64,1.17
spass,7.64,1.57
herrlich,7.64,1.06
gewinner,7.64,1.26
herzlich,7.64,1.1
kisses,7.64,1.29
happiness,7.62,1.76
herz,7.62,1.18
sun,7.62,1.61
loving,7.6,1.25
weihnachtsgeschenke,7.6,1.75
christmas,7.6,1.5
heiligabend,7.6,1.68
erfolg,7.58,1.31
kuscheln,7.58,1.51
schokolade,7.58,1.28
lecker,7.56,1.28
reisen,7.56,1.31
weihnachtsstimmung,7.56,1.55
schön,7.56,1.21
sommer,7.56,1.4
ferien,7.56,1.42
positiv,7.56,1.46
sonne,7.56,1.63
harmonie,7.54,1.16
positive,7.54,1.07
lächeln,7.54,1.18
ausgezeichnet,7.52,1.18
blumen,7.52,1.25
witzig,7.52,1.13
friends,7.52,1.34
holidays,7.48,1.43
familie,7.48,1.3
herzlichen,7.48,1.13
natur,7.48,1.31
smile,7.48,1.18
joy,7.48,1.58
toll,7.46,1.39
bester,7.46,1.25
feierabend,7.46,1.42
schönes,7.46,1.18
kuchen,7.46,1.16
traum,7.46,1.23
laughing,7.44,1.4
genial,7.44,1.43
hübsch,7.44,1.15
vertrauen,7.44,1.16
freizeit,7.44,1.28
genuss,7.44,1.11
fröhliche,7.44,1.51
begeisterung,7.44,1.51
darling,7.44,1.11
freue,7.44,1.11
birthday,7.42,1.72
leidenschaft,7.42,1.21
gewinnen,7.42,1.53
geschenk,7.42,1.28
heimat,7.42,1.14
delicious,7.42,1.18
herzen,7.42,1.64
weihnachtsmann,7.42,1.28
gesundes,7.42,1.11
fantastic,7.42,1.31
gewinn,7.4,1.31
loved,7.4,1.29
weihnachtsgeschenk,7.4,1.67
träumen,7.4,1.26
winner,7.4,1.2
feiertage,7.4,1.44
oma,7.4,1.2
weihnachtsmarkt,7.4,1.93
lustige,7.4,1.03
dankeschön,7.4,1.36
wochenende,7.4,1.59
lovely,7.4,1.4
wahrheit,7.4,1.23
*smiles,7.38,1.32
beautiful,7.38,1.6
tolles,7.38,1.18
feiern,7.38,1.24
gerechtigkeit,7.38,1.31
lustig,7.38,1.43
erfolgreich,7.38,1.21
schatz,7.38,1.59
great,7.38,1.47
süße,7.38,1.18
weihnacht,7.38,1.66
fun,7.38,1.56
zufrieden,7.38,1.37
hochzeit,7.36,1.34
ferienhaus,7.36,1.16
süß,7.36,1.14
juhu,7.36,1.5
party,7.36,1.24
lach,7.34,1.27
funny,7.34,1.55
family,7.34,1.36
geschenke”,7.34,1.39
prima,7.34,1.36
success,7.34,1.6
genießen,7.32,1.22
welcome,7.32,1.25
hahahaha,7.32,1.75
beauty,7.32,1.22
wellness,7.32,1.38
gesundheit,7.32,1.3
strand,7.32,1.35
frohes,7.32,1.1
gut,7.3,1.07
bestanden,7.3,1.53
liebsten,7.3,1.54
wunder,7.3,1.37
frei,7.3,1.39
freunden,7.3,1.17
höhepunkt,7.3,1.28
froh,7.3,1.52
pretty,7.28,1.29
summer,7.28,1.67
treue,7.28,1.34
smiles,7.28,1.41
schenken,7.28,1.31
gewonnen,7.28,1.43
freundin,7.28,1.09
schönsten,7.28,1.26
schönen,7.26,1.35
weekend,7.26,1.51
music,7.26,1.37
adorable,7.26,1.6
gerettet,7.26,1.21
nice,7.26,1.27
friend,7.26,1.45
lob,7.26,1.32
beste,7.26,1.32
engel,7.26,1.71
friedens,7.26,1.59
perfect,7.24,1.42
lieb,7.24,1.15
good,7.24,1.29
unabhängigkeit,7.24,1.24
träume,7.24,1.3
partnerschaft,7.24,1.22
beliebt,7.24,1.12
sweet,7.24,1.25
gewinne,7.24,1.17
erfolge,7.24,1.3
fair,7.22,1.15
hahaha,7.22,1.72
adventskalender,7.22,1.53
kostenlos,7.22,1.31
gold,7.22,1.31
befreiung,7.22,1.04
*smiles*,7.22,1.57
amor,7.22,1.25
lucky,7.22,1.39
chocolate,7.22,1.45
treu,7.22,1.42
perfekte,7.22,1.34
sieg,7.2,1.68
hoffnung,7.2,1.11
dank,7.2,1.26
amazing,7.2,1.41
romantik,7.2,1.14
herzens,7.2,1.29
beliebte,7.2,1.26
ehrlich,7.2,1.28
schnäppchen,7.2,1.54
sweetest,7.2,1.44
dreams,7.2,1.54
freu,7.2,1.31
danke,7.2,1.21
weihnachtsbaum,7.2,1.47
witz,7.18,1.1
kekse,7.18,1.26
besten,7.18,1.4
papa,7.18,1.21
gesunde,7.18,1.47
heaven,7.18,1.47
mutter,7.18,1.59
richtig,7.18,1.22
enjoy,7.18,1.4
ideal,7.16,1.3
musik,7.16,1.36
gerne,7.16,1.06
geburt,7.16,1.36
nette,7.16,1.17
smileys,7.16,1.54
gorgeous,7.16,1.45
sexy,7.16,1.11
laugh,7.16,1.5
gutes,7.16,1.0
luck,7.14,1.36
