word,happs,stdDev
amor,8.68,0.71
felicidad,8.6,0.83
felicidades,8.48,0.74
paz,8.42,0.88
jajajajajajajajaja,8.42,1.03
amar,8.38,0.95
sonreir,8.38,0.95
beso,8.36,0.72
éxito,8.34,0.87
felíz,8.34,0.96
jajajajajajajajajaja,8.34,1.14
¡feliz,8.34,1.14
alegria,8.34,1.0
enamoré,8.32,0.87
jajajajajajaja,8.32,1.1
sonrisas,8.28,0.86
sonrisa,8.28,0.97
jajajajajajajaj,8.28,1.07
jajajajajajajaja,8.28,1.18
enamorarse,8.28,1.03
jajajajajajajajajajaja,8.26,1.38
jajajajaja,8.26,1.19
love,8.26,0.99
friends,8.26,0.99
sonríe,8.26,0.9
maravillosa,8.24,0.87
besos,8.24,1.08
vacaciones,8.24,0.98
enamorarme,8.24,0.98
Éxito,8.24,1.02
enamorados,8.22,0.93
festejar,8.22,0.86
felices,8.22,1.04
méxico,8.22,1.2
happy,8.22,1.02
alegría,8.22,1.07
besotes,8.22,0.74
vida,8.22,1.07
excelente,8.2,0.97
happiness,8.2,1.12
hermosa,8.2,0.93
jajajjajaja,8.2,1.4
besote,8.2,1.23
musica,8.2,1.09
mamá,8.2,1.07
abrazote,8.18,0.94
enamorada,8.18,1.21
divertido,8.18,0.92
enamorado,8.18,1.06
felicitaciones,8.18,0.92
placer,8.16,1.08
buenisimo,8.16,0.79
feliiiz,8.16,1.56
vivir,8.16,1.23
amamos,8.16,1.08
congratulations,8.16,1.06
música,8.16,0.96
amarte,8.16,1.17
libre,8.14,1.12
triunfo,8.14,1.16
risa,8.14,0.97
amo,8.14,1.2
jajajajjaja,8.14,1.11
abrazos,8.14,1.07
risas,8.14,0.9
¡¡feliz,8.14,1.55
madre,8.14,1.32
sonreír,8.12,0.96
feliiz,8.12,1.33
excelentes,8.12,1.06
navidad,8.12,1.27
felizzzz,8.12,1.24
playa,8.12,1.02
alegre,8.1,1.07
prosperidad,8.1,0.93
amooor,8.1,1.62
ajajajaja,8.1,1.43
aman,8.08,1.08
bella,8.08,0.9
hermosas,8.08,0.97
jajajajajaj,8.08,1.24
feliz,8.08,1.18
alegrías,8.08,1.28
maravilloso,8.06,1.1
inteligente,8.06,1.02
confianza,8.06,1.06
contento,8.04,1.05
ríe,8.04,1.16
sabiduría,8.04,1.14
amigos,8.04,1.16
abrazar,8.04,0.83
preciosa,8.04,1.18
riendo,8.04,0.97
mexico,8.04,1.29
jajajajajaa,8.02,1.6
enamoro,8.02,1.0
sorpresa,8.02,1.12
hermosos,8.02,0.94
regalo,8.02,0.82
besarte,8.02,1.24
imaginación,8.02,0.96
festejando,8.02,0.94
besa,8.02,1.0
kisses,8.02,1.04
jajajajajaja,8.0,1.28
corazón,8.0,0.95
playita,8.0,1.12
playas,8.0,1.03
amoor,8.0,1.55
felizz,8.0,1.46
celebración,8.0,1.03
amo♥,8.0,1.7
bellas,8.0,1.11
guapa,8.0,0.99
gratis,8.0,1.11
party,8.0,0.99
beautiful,7.98,1.04
amistades,7.98,0.91
jajajaa,7.98,1.19
amigo,7.98,1.15
abrazo,7.98,0.98
hermoso,7.98,0.94
pelicula,7.98,1.02
smile,7.98,1.27
familia,7.98,1.12
reír,7.96,1.26
amistad,7.96,1.12
besar,7.96,1.32
libertad,7.96,1.38
abuela,7.96,1.05
christmas,7.96,1.31
beach,7.94,1.11
jajaja,7.94,1.02
delicious,7.94,1.04
gracias,7.94,1.02
regalos,7.94,1.13
enamoran,7.94,1.22
jajajajajajaj,7.94,1.41
gozar,7.94,1.0
enamorar,7.94,1.1
jajajaja,7.92,1.05
besitos,7.92,0.92
celebrar,7.92,1.1
maravilla,7.92,1.24
paradise,7.92,1.23
bello,7.92,1.14
delicioso,7.92,0.92
besito,7.92,1.21
rie,7.92,1.31
jajajajaa,7.92,1.6
abuelita,7.92,1.24
reir,7.92,1.38
enamore,7.92,1.07
gratuito,7.9,1.07
amores,7.9,1.07
mami,7.9,1.11
divertida,7.9,1.05
fortuna,7.9,1.11
naturaleza,7.9,1.17
dreams,7.9,0.93
amado,7.9,1.13
papá,7.9,1.36
inspiration,7.9,1.13
espectacular,7.9,1.09
peliculas,7.9,1.18
amiga,7.9,1.04
triunfos,7.88,1.1
pizza,7.88,1.33
ganar,7.88,1.12
kiss,7.88,1.51
bonito,7.88,1.02
creatividad,7.88,1.0
belleza,7.88,1.22
postre,7.88,1.19
perfect,7.86,1.39
Éxitos,7.86,1.25
amooooo,7.86,1.86
gracioso,7.86,1.11
cine,7.86,1.03
sano,7.86,1.16
peace,7.86,1.31
cariño,7.86,0.99
película,7.86,1.14
felicitar,7.86,1.09
oro,7.86,1.03
¡gracias,7.86,1.53
abuelos,7.86,1.07
fiesta,7.86,1.14
linda,7.86,1.09
chocolate,7.86,1.25
bonitas,7.86,1.2
teamo,7.84,1.68
music,7.84,1.31
amore,7.84,1.36
bondad,7.84,1.2
loves,7.84,1.2
free,7.84,1.3
ganancias,7.82,1.1
birthday,7.82,1.26
good,7.82,1.06
enamora,7.82,1.14
contenta,7.82,1.17
jajajajaj,7.82,1.53
ganador,7.82,1.24
sana,7.82,1.19
optimismo,7.82,1.29
internet,7.82,1.17
gratitud,7.82,1.06
exitoso,7.82,1.44
canciones,7.82,1.0
novios,7.82,1.27
estrella,7.8,1.18
viernes,7.8,1.36
fiestas,7.8,1.34
aventura,7.8,1.28
jajajaaja,7.8,1.59
cumpleaños,7.8,1.31
ajajajaj,7.8,1.4
flores,7.8,0.93
felizzz,7.8,2.06
amooo,7.8,1.62
amoooo,7.8,1.64
campeón,7.8,1.32
mar,7.8,1.07
chistes,7.8,1.18
grandeza,7.8,1.01
novia,7.8,1.2
poesía,7.78,1.04
hahahaha,7.78,1.34
campeon,7.78,1.22
precioso,7.78,1.18
jajajajajja,7.78,1.83
mexicano,7.78,1.33
genial,7.78,1.0
concierto,7.78,1.11
hermanos,7.78,1.06
sueños,7.78,1.42
