word,happs,stdDev
bonheur,8.38,0.92
heureux,8.34,0.8
amour,8.34,0.89
amoureux,8.3,0.91
vacances,8.16,0.87
aimer,8.14,1.03
soleil,8.12,1.14
magnifiques,8.12,0.96
l'amour,8.08,1.05
joyeux,8.06,1.02
paix,8.06,1.1
love,8.06,1.08
amoureuse,8.04,1.03
heureuse,8.04,1.03
excellente,8.04,1.05
rire,8.02,1.0
merveilleux,8.0,1.12
amours,7.98,1.1
magnifique,7.96,1.01
humour,7.96,0.95
plaisir,7.96,0.95
bisous,7.94,1.17
félicitations,7.92,1.07
happiness,7.9,1.3
joie,7.9,1.23
paradis,7.9,1.27
j'adore,7.9,1.07
sublime,7.88,0.92
t'aime,7.86,1.21
happy,7.86,1.01
excellence,7.86,1.18
rigoler,7.84,1.02
joyeuses,7.84,1.02
holidays,7.84,1.06
excellent,7.84,1.2
j'aime,7.84,1.09
plage,7.84,1.06
cadeaux,7.82,0.94
sourire,7.82,0.94
plaisirs,7.8,0.88
genial,7.8,1.14
rêver,7.8,1.11
amies,7.8,0.93
triomphe,7.8,1.2
trésor,7.78,1.18
superbe,7.78,1.07
voyages,7.76,1.2
tendresse,7.76,1.17
voyager,7.76,1.29
belle,7.76,1.06
chéri,7.74,1.24
reve,7.74,1.05
génial,7.74,1.07
extraordinaires,7.74,1.08
fête,7.74,1.1
rêve,7.72,1.01
aime,7.72,1.01
adorable,7.72,0.93
fantastique,7.72,0.97
cadeau,7.72,1.14
ahahahah,7.72,1.37
rêves,7.72,1.13
libre,7.7,1.07
maman,7.7,1.43
adore,7.7,1.04
succès,7.7,1.13
libertés,7.7,1.13
noel,7.68,1.63
contente,7.68,1.1
loves,7.68,1.15
victoire,7.66,1.22
wonderful,7.66,1.06
bien-être,7.66,1.12
liberté,7.66,1.27
holiday,7.66,1.19
d'amour,7.64,1.27
beauté,7.64,1.01
week-end,7.64,1.22
enthousiasme,7.64,1.12
fêter,7.64,1.1
chérie,7.64,1.08
hahahah,7.64,1.17
voyage,7.64,1.1
géniale,7.64,1.12
chocolats,7.64,1.16
loving,7.62,1.31
îles,7.62,1.05
ami,7.62,1.07
fleurs,7.62,0.99
paradise,7.62,1.23
amis,7.62,1.23
passion,7.62,1.01
