word,happs,stdDev
люблю,8.22,0.0
любов,8.22,0.0
щаслива,8.2,0.0
щасливий,8.2,0.0
кохати,8.16,0.0
щастя,8.12,0.0
улюблена,8.1,0.0
щасливі,8.08,0.0
щасливою,8.08,0.0
улюблений,8.04,0.0
щасливим,8.0,0.0
радість,7.98,0.0
коханої,7.92,0.0
коханим,7.92,0.0
любов&#39;ю,7.9,0.0
прекрасною,7.88,0.0
любиш,7.88,0.0
щасливого,7.88,0.0
прекрасно,7.86,0.0
кохані,7.84,0.0
коханих,7.84,0.0
wonderful,7.82,0.0
коханого,7.82,0.0
закохалася,7.8,0.0
відмінна,7.8,0.0
happy,7.8,0.0
успіх,7.8,0.0
щасливо,7.8,0.0
відмінне,7.76,0.0
кохану,7.76,0.0
приголомшливо,7.76,0.0
любить,7.76,0.0
весілля,7.74,0.0
перемога,7.72,0.0
відмінний,7.72,0.0
рай,7.72,0.0
закохався,7.72,0.0
радості,7.72,0.0
свято,7.7,0.0
обожнюю,7.7,0.0
новорічну,7.7,0.0
love,7.7,0.0
радіти,7.68,0.0
задоволення,7.68,0.0
подарунки,7.68,0.0
прекрасне,7.68,0.0
сміх,7.66,0.0
посмішка,7.66,0.0
смішно,7.64,0.0
любимо,7.64,0.0
кохане,7.64,0.0
радістю,7.62,0.0
дружба,7.62,0.0
посмішкою,7.62,0.0
поцілувати,7.6,0.0
люблять,7.6,0.0
найкраща,7.6,0.0
шикарно,7.6,0.0
розумниця,7.58,0.0
поцілунок,7.58,0.0
посміхатися,7.58,0.0
ура,7.56,0.0
новорічний,7.56,0.0
краса,7.56,0.0
весело,7.56,0.0
удача,7.54,0.0
красивою,7.54,0.0
добрий,7.52,0.0
сміється,7.52,0.0
удачу,7.5,0.0
захваті,7.5,0.0
супер,7.5,0.0
smile,7.5,0.0
урааа,7.48,0.0
диво,7.48,0.0
новорічного,7.48,0.0
перемогою,7.48,0.0
новорічне,7.46,0.0
новорічні,7.44,0.0
beautiful,7.44,0.0
маму,7.44,0.0
добро,7.44,0.0
гумор,7.44,0.0
молодці,7.44,0.0
super,7.44,0.0
шикарний,7.44,0.0
виграли,7.44,0.0
сонечко,7.44,0.0
best,7.44,0.0
сміятися,7.44,0.0
любите,7.42,0.0
вихідний,7.42,0.0
подарунок,7.42,0.0
свобода,7.42,0.0
сміху,7.42,0.0
красиво,7.4,0.0
birthday,7.4,0.0
святкувати,7.4,0.0
мами,7.4,0.0
ідеально,7.4,0.0
браво,7.4,0.0
відмінні,7.4,0.0
молодець,7.38,0.0
виграв,7.38,0.0
перемогти,7.38,0.0
матуся,7.38,0.0
новорічних,7.38,0.0
класно,7.38,0.0
сюрприз,7.38,0.0
багатство,7.38,0.0
виграла,7.38,0.0
перемогу,7.38,0.0
смішного,7.38,0.0
краси,7.38,0.0
perfect,7.36,0.0
кращого,7.36,0.0
коханий-це,7.36,0.0
переміг,7.36,0.0
класні,7.36,0.0
мила,7.36,0.0
подобатися,7.36,0.0
новорічна,7.36,0.0
задоволенням,7.36,0.0
доброю,7.34,0.0
kiss,7.34,0.0
новорічної,7.34,0.0
канікули,7.34,0.0
доброго,7.34,0.0
loves,7.34,0.0
подобаюсь,7.34,0.0
успіхом,7.34,0.0
успішно,7.32,0.0
paradise,7.32,0.0
вдало,7.32,0.0
чудеса,7.32,0.0
приємно,7.32,0.0
милі,7.32,0.0
чудес,7.32,0.0
тішить,7.3,0.0
кохай,7.3,0.0
симпатичний,7.3,0.0
радий,7.3,0.0
мамою,7.3,0.0
успіху,7.3,0.0
милий,7.28,0.0
привітати,7.28,0.0
смачно,7.28,0.0
funny,7.28,0.0
класний,7.28,0.0
подобаєшся,7.28,0.0
розумна,7.28,0.0
батьки,7.28,0.0
