source,domain,chart,region,country,continent,date,position,title,artist,url,scraped_at,city,track_id,album,popularity,energy,danceability,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
billboard,billboard.com,hot-100,,,,2011-06-04,1,Rolling In The Deep,Adele,,2025-11-22T16:33:59.805187+00:00,,,21,81,0.769,0.73,0.507,104.948,-5.114,0.138,0.0,0.0298,0.0473
billboard,billboard.com,hot-100,,,,2016-06-04,1,One Dance,Drake Featuring Wizkid & Kyla,,2025-11-22T16:43:18.797585+00:00,,,Views,90,0.605,0.788,0.427,103.94,-5.586,0.00899,0.00275,0.0578,0.318
billboard,billboard.com,hot-100,,,,2019-06-01,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,,2025-11-22T16:49:02.534815+00:00,,,7 EP,77,0.53,0.907,0.507,135.998,-6.112,0.0578,2.23e-06,0.127,0.101
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Rock,Olamide,,2025-11-28T03:10:11.431570,,,UY Scuti,52,0.628,0.917,0.828,103.993,-7.542,0.362,0.273,0.188,0.102
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Understand,Omah Lay,,2025-11-28T03:10:11.431570,,,Boy Alone,69,0.653,0.697,0.627,99.982,-7.284,0.166,0.231,0.102,0.0911
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Petite,NSG,,2025-11-28T03:10:11.431570,,,Petite,48,0.565,0.631,0.522,101.822,-6.89,0.452,4e-05,0.225,0.0782
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Anoti,WizKid,,2025-11-28T03:10:11.431570,,,Made In Lagos: Deluxe Edition,52,0.73,0.634,0.575,101.901,-7.353,0.378,2.04e-05,0.385,0.0985
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Free My Mind,Omah Lay,,2025-11-28T03:10:11.431570,,,Free My Mind,50,0.37,0.771,0.941,94.893,-10.813,0.426,0.363,0.0441,0.086
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Ozumba Mbadiwe,Reekado Banks,,2025-11-28T03:10:11.431570,,,Ozumba Mbadiwe,52,0.782,0.785,0.635,109.961,-6.803,0.424,0.00644,0.0358,0.108
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Beggin,Måneskin,,2025-11-28T03:10:11.431570,,,Chosen,85,0.8,0.714,0.589,134.002,-4.808,0.127,0.0,0.0504,0.359
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,I WANNA BE YOUR SLAVE,Måneskin,,2025-11-28T03:10:11.431570,,,Teatro d'ira - Vol. I,84,0.608,0.75,0.958,132.507,-4.008,0.00165,0.0,0.0387,0.178
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,LALISA,LISA,,2025-11-28T03:10:11.431570,,,LALISA,69,0.652,0.804,0.854,150.076,-6.282,0.0267,0.000782,0.0898,0.118
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,MONEY,LISA,,2025-11-28T03:10:11.431570,,,LALISA,74,0.553,0.826,0.4,140.037,-10.121,0.163,4.12e-05,0.234,0.135
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Over,Lucky Daye,,2025-11-28T03:10:11.431570,,,Candydrip,67,0.555,0.65,0.352,103.081,-5.971,0.502,0.0,0.0719,0.104
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Astronaut In The Ocean,Masked Wolf,,2025-11-28T03:10:11.431570,,,Astronaut In The Ocean,71,0.695,0.778,0.472,149.996,-6.865,0.175,0.0,0.0913,0.15
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Permission to Dance,BTS,,2025-11-28T03:10:11.431570,,,Permission to Dance,74,0.741,0.702,0.646,124.925,-5.33,0.00544,0.0,0.0427,0.337
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Pepas,Farruko,,2025-11-28T03:10:11.431570,,,Pepas,78,0.766,0.762,0.442,130.001,-3.955,0.00776,6.98e-05,0.0343,0.128
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Love Me Like That,SAM KIM,,2025-11-28T03:10:11.431570,,,"Nevertheless, (Original Television Soundtrack, Pt. 6)",63,0.294,0.59,0.461,87.895,-8.125,0.854,0.0,0.0654,0.0873
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Next Level,aespa,,2025-11-28T03:10:11.431570,,,Next Level,69,0.852,0.82,0.82,109.036,-2.567,0.488,5.94e-06,0.166,0.0907
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Double Take,dhruv,,2025-11-28T03:10:11.431570,,,double take,78,0.437,0.456,0.209,108.678,-11.156,0.839,0.0,0.0867,0.218
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Here's Your Perfect,Jamie Miller,,2025-11-28T03:10:11.431570,,,Here's Your Perfect,74,0.454,0.558,0.424,113.12,-5.335,0.499,0.0,0.0551,0.146
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,FEVER,ENHYPEN,,2025-11-28T03:10:11.431570,,,BORDER : CARNIVAL,76,0.713,0.6,0.471,72.999,-5.079,0.0642,0.0,0.0592,0.142
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Queendom,Red Velvet,,2025-11-28T03:10:11.431570,,,Queendom - The 6th Mini Album,59,0.896,0.695,0.508,119.959,-1.24,0.179,0.0,0.0847,0.0626
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Thunderous,Stray Kids,,2025-11-28T03:10:11.431570,,,NOEASY,71,0.786,0.601,0.79,172.156,-3.706,0.213,0.0,0.234,0.209
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,STEREOTYPE,STAYC,,2025-11-28T03:10:11.431570,,,STEREOTYPE,60,0.805,0.605,0.738,148.298,-3.212,0.313,0.0,0.0641,0.659
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,On The Ground,ROSÉ,,2025-11-28T03:10:11.431570,,,R,67,0.607,0.311,0.286,188.7,-6.578,0.0174,0.0,0.11,0.131
