source_domain,chart,region,date,position,title,artist,url,scraped_at
billboard.com,Greatest of All Time Hot 100 Singles,US,,1,Blinding Lights,The Weeknd,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,2,The Twist,Chubby Checker,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,3,Smooth,Santana Featuring Rob Thomas,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,4,Mack The Knife,Bobby Darin,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,5,Uptown Funk!,Mark Ronson Featuring Bruno Mars,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,6,How Do I Live,LeAnn Rimes,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,7,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,8,I Gotta Feeling,The Black Eyed Peas,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,9,Macarena (Bayside Boys Mix),Los del Rio,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,10,Shape Of You,Ed Sheeran,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,11,Physical,Olivia Newton-John,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,12,You Light Up My Life,Debby Boone,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,13,Hey Jude,The Beatles,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,14,Closer,The Chainsmokers Featuring Halsey,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,15,We Belong Together,Mariah Carey,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,16,Un-Break My Heart,Toni Braxton,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,17,Yeah!,Usher Featuring Lil Jon & Ludacris,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,18,Bette Davis Eyes,Kim Carnes,,2025-11-22T13:42:37.507466+00:00
billboard.com,Greatest of All Time Hot 100 Singles,US,,19,Circles,Post Malone,,2025-11-22T13:42:37.507466+00:00
