source_domain,chart,region,date,position,title,artist,url,scraped_at
en.wikipedia.org,List of best-selling singles,,,1,""" White Christmas """,Bing Crosby,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,2,""" Something About the Way You Look Tonight ""/"" Candle in the Wind 1997 """,Elton John,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,3,""" Silent Night """,Bing Crosby,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,4,""" Petit Papa Noël """,Tino Rossi,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,5,""" Rock Around the Clock """,Bill Haley & His Comets,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,6,""" I Will Always Love You """,Whitney Houston,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,7,""" It's Now or Never """,Elvis Presley,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,8,""" We Are the World """,USA for Africa,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,9,""" If I Didn't Care """,The Ink Spots,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,10,""" My Heart Will Go On """,Celine Dion,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,11,""" All I Want For Christmas Is You """,Mariah Carey,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,12,""" Yes Sir, I Can Boogie """,Baccara,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,13,""" (Everything I Do) I Do It for You """,Bryan Adams,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,14,""" You're the One That I Want """,John Travolta and Olivia Newton-John,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,1,""" Wind of Change """,Scorpions,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,2,""" Bei Mir Bist Du Schön """,The Andrews Sisters,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,3,""" Sweet Mother """,Prince Nico Mbarga,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,4,""" Sukiyaki """,Kyu Sakamoto,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,5,""" Rudolph the Red-Nosed Reindeer """,Gene Autry,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,6,""" Dragostea din tei """,O-Zone,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,7,""" I Want to Hold Your Hand """,The Beatles,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,8,""" Time to Say Goodbye """,Andrea Bocelli and Sarah Brightman,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,9,""" Y.M.C.A. """,Village People,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,10,""" Do They Know It's Christmas? """,Band Aid,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,11,""" Macarena """,Los del Río,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,12,""" Believe """,Cher,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,13,""" Kung Fu Fighting """,Carl Douglas,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,14,""" Rock Your Baby """,George McCrae,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,15,""" Paper Doll """,Mills Brothers,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,16,""" The Last Farewell """,Roger Whittaker,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,17,""" Fernando """,ABBA,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,18,""" Wabash Cannonball """,Roy Acuff,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,19,""" Diana """,Paul Anka,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,20,""" Un-Break My Heart """,Toni Braxton,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,21,""" My Sweet Lord """,George Harrison,,2025-11-22T13:42:50.133484+00:00
en.wikipedia.org,List of best-selling singles,,,22,""" Chirpy Chirpy Cheep Cheep """,Middle of the Road,,2025-11-22T13:42:50.133484+00:00
