source_domain,chart,region,date,position,title,artist,url,scraped_at
recordreport.com.ve,Record Report,,,1,"""REGRESA AL NIDO""
PROYECTO UNO
HAF",,,2025-11-10T14:37:33.787329+00:00
recordreport.com.ve,Record Report,,,2,"""PLAYITA""
ELIO LEIROS Y JERRY DI
OTROS",,,2025-11-10T14:37:33.787329+00:00
recordreport.com.ve,Record Report,,,3,"""BRUTOS""
FARRUKO, POTRO ALVAREZ, JESSI
CARBON",,,2025-11-10T14:37:33.787329+00:00
recordreport.com.ve,Record Report,,,4,"""DANDO INSTRUCCIONES""
JESSI URIBE, JEAN C. CENTENO
BOHEMI",,,2025-11-10T14:37:33.787329+00:00
recordreport.com.ve,Record Report,,,5,"""QUE ME QUIERA MA""
MARC ANTHONY, WISIN
SONY",,,2025-11-10T14:37:33.787329+00:00
recordreport.com.ve,Record Report,,,3,"""A FUEGO LENTO""
BANNY KOSTA",,,2025-12-08T07:59:31.142711+00:00
recordreport.com.ve,Record Report,,,1,"""A FUEGO LENTO""
BANNY KOSTA
OTROS",,,2025-12-08T07:59:31.142711+00:00
recordreport.com.ve,Record Report,,,2,"""SISMO""
PALOLA
OTROS",,,2025-12-08T07:59:31.142711+00:00
recordreport.com.ve,Record Report,,,3,"""PLAYITA""
ELIO LEIROS Y JERRY DI
OTROS",,,2025-12-08T07:59:31.142711+00:00
recordreport.com.ve,Record Report,,,4,"""BUENAS NOCHES SOLEDAD""
ANDRES BRANDT
OTROS",,,2025-12-08T07:59:31.142711+00:00
recordreport.com.ve,Record Report,,,5,"""EL CANTAR TIENE SENTIDO""
MONDI, S. BRAVO, J. GLEM
OTROS",,,2025-12-08T07:59:31.142711+00:00
