source_domain,chart,region,date,position,title,artist,url,scraped_at
turntablecharts.com,TurnTable Top,,,1,FUN Rema,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,2,Who's Dat Girl Ayra Starr & Rema,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,3,Shakabulizzy (Remix) Mavo & Davido,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,4,Body (danz) CKay ft. Mavo,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,5,"MONEY CONSTANT DJ Maphorisa, DJ Tunez, Wizkid & Mavo",,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,6,you FOLA,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,7,"Getting Paid Sarz, Asake, Wizkid & Skillibeng",,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,8,ACL Blaqbonez,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,9,INDUSTRY MACHINE ODUMODUBLVCK,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,10,Raindance Dave & Tems,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,11,Only God Can Save Me Adekunle Gold & Davido,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,12,Love Burna Boy,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,13,BIG TIME ODUMODUBLVCK & Wizkid,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,14,Adunni Rybeena & Joeboy,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,15,Hot Body Ayra Starr,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,16,HIM Shallipopi ft. Gunna,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,17,Many People Adekunle Gold,,,2025-11-10T14:31:10.192616+00:00
turntablecharts.com,TurnTable Top,,,18,Despacito Blaqbonez ft. FOLA,,,2025-11-10T14:31:10.192616+00:00
