index,source_title,source_artist,spotify_name,spotify_artists,track_id,matches,reason
0,Under The Influence,Chris Brown,Under The Influence,Chris Brown,5IgjP7X4th6nMNDh4akUHb,True,Perfect match
1,7500 OBO,Tim McGraw,7500 OBO,Tim McGraw,7A4WmJcWx6KrVRfQ2CP8e7,True,Perfect match
2,Something In The Orange,Zach Bryan,Something in the Orange,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,True,Perfect match
3,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2uFaJJtFpPDc5Pa95XzTvg,True,Perfect match
4,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,Clean Bandit;Sean Paul;Anne-Marie,,True,Perfect match
5,Super Gremlin,Kodak Black,Super Gremlin,Kodak Black,1Y5Jvi3eLi4Chwqch9GMem,True,Perfect match
6,Bury A Friend,Billie Eilish,bury a friend,Billie Eilish,4SSnFejRGlZikf02HLewEF,True,Perfect match
7,Born To Die,Lana Del Rey,Born To Die,Lana Del Rey,5wEreUfwxZxWnEol61ulIi,True,Perfect match
8,Judas,Lady Gaga,Judas,Lady Gaga,7F25roCtYi55JouckaayPC,True,Perfect match
9,Heavy,Linkin Park Featuring Kiiara,Heavy,Linkin Park;Kiiara,,True,Perfect match
10,Love Me More,Sam Smith,Love Me More,Sam Smith,16MQETUgqXwY4lZcyRafU3,True,Perfect match
11,Safety Dance,Glee Cast,Safety Dance,Glee Cast,3PYRn2lgbjuVB4w3BPQ8gs,True,Perfect match
12,Earth,Lil Dicky,Earth,Lil Dicky,7lakl3bPRdQqUGX9m755jX,True,Perfect match
13,The Sound Of Silence,Disturbed,The Sound of Silence,Disturbed,1LY3GhF0zxIVgbYEQjCbUO,True,Perfect match
14,To Be Loved By You,Parker McCollum,To Be Loved By You,Parker McCollum,2pUQX4d3Cjh3umGkVz0XyI,True,Perfect match
15,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama,David Guetta;Nicki Minaj;Bebe Rexha;Afrojack,,True,Perfect match
16,Back To Black,Glee Cast,Back To Black,Glee Cast,3ElRruui1pSlpqr5mLTn4y,True,Perfect match
