source,domain,chart,region,date,position,title,artist,url,scraped_at
billboard,billboard.com,hot-100,,2025-11-08,1,The Fate Of Ophelia,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,2,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,3,Ordinary,Alex Warren,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,4,Opalite,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,5,Man I Need,Olivia Dean,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,6,Daisies,Justin Bieber,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,7,Folded,Kehlani,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,8,Elizabeth Taylor,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,9,I Got Better,Morgan Wallen,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,10,Mutt,Leon Thomas,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,11,Father Figure,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,12,Back To Friends,sombr,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,13,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,14,Wi$h Li$t,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,15,What I Want,Morgan Wallen Featuring Tate McRae,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,16,Manchild,Sabrina Carpenter,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,17,Love Me Not,Ravyn Lenae,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,18,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,19,It Depends,Chris Brown Featuring Bryson Tiller,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,20,Tears,Sabrina Carpenter,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,21,The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,22,Back In The Saddle,Luke Combs,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,23,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,24,Wood,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,25,Actually Romantic,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,26,Mystical Magical,Benson Boone,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,27,Tit For Tat,Tate McRae,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,28,Cancelled!,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,29,Eldest Daughter,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,30,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,31,Ruin The Friendship,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,32,Thriller,Michael Jackson,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,33,Honey,Taylor Swift,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,34,Burning Blue,Mariah the Scientist,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,35,Choosin' Texas,Ella Langley,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,36,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,37,Gabriela,KATSEYE,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,38,Lover Girl,Megan Thee Stallion,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,39,Dracula,Tame Impala,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,40,Free,"Rumi, JINU, EJAE & Andrew Choi",,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,41,No Broke Boys,Disco Lines & Tinashe,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,42,Happen To Me,Russell Dickerson,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,43,Yukon,Justin Bieber,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,44,So Easy (To Fall In Love),Olivia Dean,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,45,Don't Mind If I Do,Riley Green Featuring Ella Langley,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,46,6 Months Later,Megan Moroney,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,47,This Is Halloween,The Citizens of Halloween,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,48,Shot Callin,YoungBoy Never Broke Again,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,49,Somewhere Over Laredo,Lainey Wilson,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,hot-100,,2025-11-08,50,Spaghetti,Le Sserafim & J-Hope,,2025-11-10T09:06:31.591936+00:00
billboard,billboard.com,billboard-200,,2025-11-08,1,The Life Of A Showgirl,Taylor Swift,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,2,KPop Demon Hunters,Soundtrack,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,3,I'm The Problem,Morgan Wallen,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,4,Son Of Spergy,Daniel Caesar,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,5,Man's Best Friend,Sabrina Carpenter,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,6,The Art Of Loving,Olivia Dean,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,7,Returning To Myself,Brandi Carlile,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,8,Am I The Drama?,Cardi B,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,9,It's Not That Deep,Demi Lovato,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,10,SOS,SZA,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,11,One Thing At A Time,Morgan Wallen,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,12,"You'll Be Alright, Kid",Alex Warren,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,13,Debi Tirar Mas Fotos,Bad Bunny,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,14,Stick Season,Noah Kahan,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,15,Short n' Sweet,Sabrina Carpenter,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,16,Deadbeat,Tame Impala,,2025-11-10T09:08:58.768435+00:00
billboard,billboard.com,billboard-200,,2025-11-08,17,So Close To What,Tate McRae,,2025-11-10T09:08:58.768435+00:00
