track_name,artists,peak_position,first_chart_date,last_chart_date,n_chart_appearances,n_distinct_charts,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,playlistname,peak_charts
'Til You Can't,Cody Johnson,82,2022-01-01,2022-01-01,1,1,Country Car Hits,1,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country,,hot-100
(Everything I Do) I Do It For You,Bryan Adams,13,,,2,2,90's Music Grandi Successi,2,394133,False,0.526,0.365,1,-12.605,1,0.028,0.0775,1.37e-05,0.0618,0.254,131.251,4,rock,,List of best-selling singles
2 On (feat. ScHoolboy Q),Tinashe;ScHoolboy Q,75,2014-06-07,2014-06-07,1,1,Aquarius,72,227000,True,0.742,0.595,9,-7.51,1,0.107,0.15,0.0,0.111,0.431,101.013,4,alternative,,hot-100
2step,Ed Sheeran;Lil Baby,56,2022-07-02,2022-07-02,1,1,Totally Rap,0,163449,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,pop,,hot-100
5 Foot 9,Tyler Hubbard,88,2022-07-02,2022-07-02,1,1,Artsy & Colourful,1,189780,False,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,4,country,,hot-100
7 rings,Ariana Grande,9,2019-06-01,2019-06-01,2,2,"thank u, next",84,178626,True,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,4,dance,,List of best-selling singles
7500 OBO,Tim McGraw,93,2022-07-02,2022-07-02,1,1,Sad Country Songs,3,221400,False,0.528,0.718,7,-6.954,1,0.0337,0.1,0.0,0.304,0.51,155.759,4,country,,hot-100
About Damn Time,Lizzo,5,2022-07-02,2022-07-02,1,1,About Damn Time,89,191822,True,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,4,hip-hop,,hot-100
Africa,TOTO,9,,,1,1,Toto IV,83,295893,False,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4,rock,,List of best-selling singles
After A Few,Travis Denning,33,2020-06-06,2020-06-06,1,1,Tailgate Country,0,214040,False,0.619,0.855,10,-4.356,0,0.0346,0.0155,0.0,0.162,0.656,107.004,4,country,,hot-100
After Hours,The Weeknd,101,2025-11-08,2025-11-08,1,1,Halloween Party 2022,0,361946,False,0.651,0.567,5,-5.941,0,0.0317,0.0934,0.00991,0.124,0.138,108.953,4,pop,,billboard-200
Ain't It Fun,Paramore,11,2014-06-07,2014-06-07,1,1,Alternative Rock Mixtape,1,296520,False,0.606,0.893,9,-3.681,1,0.0987,0.154,4.18e-05,0.021,0.671,103.985,4,emo,,hot-100
Ain't No Mountain High Enough,Marvin Gaye;Tammi Terrell,25,,,1,1,United,82,151666,False,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,4,funk,,List of best-selling singles
Alive,Krewella,44,2013-06-01,2013-06-01,1,1,Get Wet,53,288880,False,0.671,0.828,9,-2.907,1,0.053,0.00304,0.00287,0.352,0.57,127.976,4,dub,,hot-100
